Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
100,-14.5643907237516,-259.368311377614,-266.085661302551,-0.73090151401823,0.294922102301024,-0.207656721196202,14.2117645400696,1.56398538989891,2.08891064696661,0.715596119567452,1.55240688187655,2.68340698350816,4.49847170133146,9.97382330485441,8.44453731775438,0.268449528373664,8.70628695585723,0.26067003241908,-206.856994440366,-1.4956234809989
200,-14.5648074990852,-261.543491237476,-266.27874201255,-0.727367493579597,0.305185293854356,-0.211880554525118,14.2197136887856,1.56424961378911,2.09014295856088,0.717091729415007,1.5410502389705,2.66255006263437,4.40155953482823,9.76999438033726,8.52795700633443,0.267566652587616,8.71130776049557,0.260893906376476,-211.968219299174,-1.47185486621265
300,-14.5669706628059,-264.699289599358,-266.463668821903,-0.729207256128903,0.301911507277935,-0.209017046223283,14.2260427027953,1.56147854889201,2.0891125641668,0.715290648267957,1.5559487384721,2.69087092173484,4.54409643173983,10.0645360211828,8.64775152530889,0.263505943713461,8.71674141363122,0.261055822101143,-220.028199312358,-1.30242503663522
400,-14.5671260861586,-265.260788418148,-266.483608774485,-0.729252880701677,0.302373409179435,-0.2091104874867,14.2268771310972,1.56129422838844,2.08911112741473,0.715242259085482,1.55648076637204,2.69196427719334,4.55021046804638,10.0773483384885,8.66972950407362,0.262960992074478,8.7173335067953,0.261085146547748,-221.714198824297,-1.27698571516846
500,-14.5671830777004,-265.507204848945,-266.488253962839,-0.729285977459901,0.302520508358607,-0.20900379646622,14.2271910622342,1.56119259707201,2.08910865752286,0.715223005725034,1.55665387971999,2.69233088185808,4.55216423816958,10.0813489885198,8.67940122608835,0.262420201936342,8.71756220101289,0.261100220102625,-222.469006490273,-1.24847426084404
600,-14.5671988851869,-265.970319025408,-266.48917834093,-0.729300801444012,0.302610945771144,-0.208971047326988,14.227351324205,1.56114788808105,2.08910403188984,0.715211931172299,1.55679344527113,2.69260869021709,4.5539523572533,10.0850272481624,8.69671531341828,0.261968503040904,8.71768533666005,0.261106723810607,-224.017445959415,-1.22078127899202
700,-14.5672117882064,-266.001038951593,-266.490992519533,-0.729312215105234,0.302626392741649,-0.208934345629955,14.2274295442594,1.56112351305482,2.08910240665913,0.715205445126569,1.55684954905781,2.69272440027113,4.55459497027567,10.0863191392152,8.69796520194352,0.261893476566021,8.71774445296831,0.261110045384904,-224.094485703436,-1.21751502219217
800,-14.5672207325526,-266.087596257227,-266.492619318768,-0.729356311186362,0.30266519068955,-0.208916433326028,14.2274861368722,1.56111027832215,2.08910279758803,0.715202988049259,1.55686986233472,2.69277584330885,4.55484716206147,10.0869122391443,8.70161228794288,0.261864194469645,8.71778423343869,0.261111816038679,-224.428040925775,-1.21625600882129
900,-14.5672266091752,-266.07472652587,-266.492869306723,-0.729347258566588,0.302672018550615,-0.208904184209088,14.227516065141,1.56110202441932,2.08910278353892,0.715201331150325,1.55689082101125,2.69281852135357,4.55513081653609,10.087476948986,8.70132270512842,0.261797779154243,8.71780521660425,0.261113778437453,-224.38541824193,-1.21230813340965
1000,-14.5672307869442,-266.190026813299,-266.491242492723,-0.729349204753673,0.302690068817092,-0.208905998766746,14.2275531588453,1.56109077961249,2.08910314069752,0.715200295159522,1.55690122175998,2.69284290875431,4.55525688141045,10.0877654948553,8.70582793950401,0.261518558592057,8.71783219714674,0.261115204985775,-224.825396315858,-1.19245701042457
1100,-14.5672329471371,-266.209473443761,-266.491923612964,-0.729375205640033,0.302690167606411,-0.208892900175257,14.2275665462795,1.56108791502936,2.08910247361502,0.715198563718681,1.55691905874373,2.69288008622745,4.55546555868405,10.0882099224917,8.70679822563913,0.261534281717829,8.71784219818477,0.261116059186001,-224.908051489436,-1.19380989783924
1200,-14.5672348169149,-266.230037211697,-266.492101162437,-0.729379651521029,0.302701287833094,-0.208891426090173,14.2275810136023,1.56108374077166,2.08910291441082,0.715198724559448,1.55691647794434,2.6928754775768,4.55544355745699,10.088151628678,8.70770687136587,0.261506421107763,8.71785247292673,0.261116790627186,-224.986814182773,-1.1924532545291
1300,-14.5672363702124,-266.234086971723,-266.492397753726,-0.729380319789539,0.302704558306101,-0.208887830001307,14.2275895901865,1.56108327625373,2.08910348830518,0.715198857859356,1.55691961619236,2.69288402265194,4.55550279072145,10.088292476616,8.7078546060259,0.261512109033231,8.71785763363262,0.261117208179841,-224.999849994231,-1.19298095602526
1400,-14.5672376905555,-266.319226529767,-266.492719661272,-0.729381220714391,0.302708727491797,-0.208885096078349,14.2275995963537,1.56108213783487,2.08910367225182,0.71519876202466,1.55692080204505,2.69288733195589,4.55552742016561,10.088343817673,8.71085187695619,0.261507123810822,8.71786510252189,0.261117482145061,-225.317343110699,-1.1927923913717
