Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
100,-14.4656772655509,-255.747002641155,-265.6533753205,-0.800788085223261,-1.41997244156456e-21,5.21623226285197e-22,14.1800585880136,1.55028268473315,2.07031349545613,0.697349534491316,1.72975261935449,2.88208211347265,5.94340132882487,11.7370925536107,8.3121471598602,0.271577460553297,8.69705766608639,0.260534357374724,-199.582412261663,-1.60247898600264
200,-14.4689685405135,-258.334999137974,-266.068715102102,-0.805102537813242,6.57808990216917e-22,-1.29764813564278e-21,14.1951347804126,1.54954419147677,2.0713761857917,0.698244944789711,1.72650938897131,2.87855703355054,5.9406892080002,11.7426104180481,8.40638993318736,0.270717648247194,8.7071380086278,0.260894998854002,-204.657094637191,-1.58872242900565
300,-14.4728510519545,-264.101817725281,-266.604247654211,-0.811722269105646,2.61560687135538e-21,-2.13048864157861e-21,14.2134570312317,1.54337004554918,2.06917496483679,0.693498343280862,1.77277157814838,2.96987335147334,6.4687998661055,12.8210370078038,8.62471781447804,0.26501607836922,8.72228753816517,0.26120843884463,-218.158808035401,-1.3816201125767
400,-14.4732104154105,-265.187241459561,-266.642939064404,-0.811935108892243,-1.64115461056593e-21,-6.77534887244489e-22,14.2152626265777,1.54284220875741,2.06917419862397,0.693378732160862,1.77463929430449,2.97391994839963,6.49796732883787,12.8814304912465,8.66596960055638,0.263327997268091,8.72358133899605,0.261275140790218,-221.182200747676,-1.30341329422999
500,-14.4733214453624,-265.56531479787,-266.660986398998,-0.812197663516991,-1.95282877835763e-21,-7.93368971395934e-22,14.2158612489825,1.54274241654641,2.06917475569373,0.693347937736601,1.77515418326037,2.97501373463775,6.50581007474658,12.897395814727,8.68118438894338,0.263250907427282,8.72399880090392,0.261291405582067,-222.343045391911,-1.3019510463378
600,-14.4733553406506,-265.733990843394,-266.663163764884,-0.812066851276517,9.17698563615096e-23,-1.29261713460848e-21,14.2160174756174,1.54265000683485,2.06916226509031,0.693320114323458,1.77554011448516,2.97579135876662,6.51156993431683,12.9088868428867,8.68735854224512,0.262916130323845,8.72411601860193,0.261301125001213,-222.824744622669,-1.28576612233161
700,-14.4733822430676,-265.960428271402,-266.661822276713,-0.812045418446645,-6.32698181480459e-21,-2.1682762923659e-22,14.2161761225748,1.54257933628724,2.06916107462511,0.693308127764016,1.77573702222668,2.97622881391566,6.51483756016925,12.9157275702721,8.69615002286952,0.262276831827451,8.72422972235693,0.261310841314334,-223.593248401132,-1.2484500606535
800,-14.4734004472593,-266.097702139629,-266.665675267418,-0.812093096954027,-9.814569143121e-21,1.80715288350587e-22,14.2162851101396,1.54256431672202,2.06916274279023,0.693306268685314,1.77577941201673,2.9763358565057,6.51572161094577,12.91760637856,8.7015830414348,0.262307274203698,8.72430754301729,0.261312671712131,-224.048826207289,-1.25109679065966
900,-14.4734138080438,-266.185208032619,-266.667271760164,-0.812115818103227,-8.39467602315589e-22,-1.21866943258892e-21,14.2163436141687,1.54254621287013,2.06916246185946,0.69330333424935,1.77581339407199,2.97641568701804,6.51622654511843,12.9186866950009,8.7049885401405,0.262273905885284,8.72434898547123,0.261314039234738,-224.327131150918,-1.24990394890966
1000,-14.4734232915024,-266.33650731963,-266.665606046301,-0.812049227452511,-5.27294126404887e-21,-1.14612226411712e-21,14.2163909241631,1.54252429849446,2.06916475442381,0.693303376165665,1.77583524224483,2.97647709148448,6.51674216211685,12.9198821589123,8.71000200258332,0.261973579363021,8.72438091071581,0.261317158470295,-224.831741100391,-1.23105333563175
1100,-14.4734278004226,-266.333630214265,-266.666433713634,-0.812059056445861,-2.5945801709999e-21,-7.5810431722693e-22,14.2164100315114,1.54252314655677,2.06916615775293,0.693304037205449,1.77584266865707,2.97650441660841,6.51697396704768,12.9204545539751,8.71000333569341,0.261994119580346,8.7243923369495,0.261318015691301,-224.82170051264,-1.23272147375164
1200,-14.4734319863218,-266.325229855642,-266.665414274303,-0.812055279683039,-3.5652047220466e-21,-7.4084396871461e-22,14.2164212767851,1.5425129647135,2.06916616194866,0.693302983889921,1.77586339723789,2.97655907595371,6.51736235142543,12.9213685414951,8.71032104618598,0.261848171017213,8.72439963174942,0.261318966922191,-224.839156571985,-1.22288781052425
1300,-14.473435264954,-266.428188472144,-266.66559795306,-0.812071346505809,1.82343536152865e-21,-1.42738768640103e-21,14.2164430912866,1.54250844651736,2.06916715272572,0.693303610492661,1.77586118495346,2.9765549896982,6.51740237074125,12.9214054849166,8.71385848774084,0.261795360804934,8.72441467208128,0.261319905441972,-225.190501418855,-1.21940982033753
1400,-14.47343798506,-266.423929554538,-266.665728665599,-0.812072393017813,2.93271559868027e-21,-1.54506172203649e-21,14.2164601517126,1.54250369855696,2.06916737584289,0.693303061644326,1.77586664748393,2.97657015737129,6.51748775559877,12.9215974776317,8.71417366412315,0.26175023695536,8.72442633076776,0.261320667805183,-225.204792813351,-1.2166316008935
1500,-14.4734401661864,-266.425478701704,-266.665885919403,-0.812084004873652,8.11785042944662e-21,-2.95575559811616e-21,14.2164729951428,1.54250017260165,2.06916777633164,0.693302834327778,1.77587078490652,2.9765820122983,6.5175697153499,12.9217840418618,8.71438262995013,0.261721489416044,8.72443497012546,0.261321313293899,-225.217979224115,-1.21506604796479
1600,-14.4734419099895,-266.424317506425,-266.666175643792,-0.812092187467436,5.17234226835647e-22,-6.1480446205183e-22,14.2164803945923,1.54249861474437,2.06916802143698,0.693302646542336,1.77587422214437,2.97659169777622,6.51766218218737,12.9219800736858,8.71452120758998,0.26172610996993,8.72443987466752,0.261321467499845,-225.226083734616,-1.21546363857585
1700,-14.4734433181745,-266.436145053692,-266.666405539404,-0.812089528725083,4.21269491612107e-21,-2.86980639360143e-21,14.2164917313149,1.54249642541882,2.06916838803095,0.693302794413793,1.77587231935174,2.97658928805564,6.51765816702545,12.9219725719429,8.71516839181972,0.261707927321179,8.72444780691904,0.26132180629757,-225.281566634587,-1.21439860115194
1800,-14.4734444616081,-266.436199951078,-266.666424297661,-0.81209019294945,-3.79613127341725e-21,3.25496368479121e-22,14.2164967667928,1.54249556133352,2.06916866927972,0.693302924402003,1.77586975027472,2.97658411125672,6.51762655007438,12.9218883233409,8.71520737243633,0.261695005413722,8.72445104353311,0.261322102135964,-225.283153673722,-1.21340445030469
1900,-14.4734454449146,-266.434682411125,-266.666539435282,-0.812091489543009,2.82543011387067e-22,-1.20977513844377e-21,14.2165034357277,1.54249508461303,2.06916898076582,0.693302972773969,1.77586954461066,2.97658586621462,6.51762424832551,12.9218975868302,8.7152537451372,0.261685818162393,8.72445544898594,0.261322279134473,-225.283689337422,-1.21268718292173
2000,-14.4734462823043,-266.435359517585,-266.666557404705,-0.812091809633077,7.34680928522918e-22,-1.54919500636724e-21,14.216507356984,1.54249451501185,2.06916914685735,0.693302988923399,1.77586922182571,2.9765872253706,6.51763217926386,12.9219330107188,8.71531955712248,0.261675811880278,8.72445807114009,0.261322468482799,-225.288254994364,-1.21193896131337
2100,-14.4734469844052,-266.52338734326,-266.665438235346,-0.81208924228332,-7.15759888147902e-22,-6.10630056851766e-22,14.216514368723,1.54249178545326,2.06916930038071,0.69330309240142,1.77586861129391,2.97658673066232,6.51764506426669,12.9219533107361,8.71854355400571,0.261545584107135,8.72446337910084,0.261322779195427,-225.636632615964,-1.20178573177849
2200,-14.4734475635056,-266.526978071147,-266.665441124033,-0.812088473483562,1.05826411161315e-20,-5.48744029289539e-21,14.2165178852445,1.54249095975856,2.06916942626149,0.693303089054879,1.77586978161811,2.97658980743956,6.51767359263226,12.9220150516989,8.71870015170969,0.261533553644537,8.72446577541537,0.261322899979312,-225.649267105996,-1.20106466350532
2300,-14.4734480514269,-266.55081582968,-266.665540149446,-0.812089557321755,2.00758955492347e-21,-1.96259193771074e-21,14.2165211667716,1.54249005652035,2.06916945691344,0.693303001305933,1.77587033435711,2.97659166125959,6.51768092825216,12.9220326347307,8.71964796241253,0.261531198574714,8.7244681305761,0.261323017948233,-225.750357289401,-1.20101241833418
2400,-14.4734484641072,-266.551133809251,-266.665586324204,-0.812092007053435,1.23683152362884e-20,-6.03603850434805e-21,14.2165233903635,1.54248907412776,2.06916949752272,0.693302943181,1.77587049423561,2.9765923965631,6.51769050977561,12.9220541276946,8.71972587624783,0.261526962144232,8.72446963856058,0.261323164130128,-225.75632194003,-1.20090024524249
2500,-14.4734488107549,-266.554613063492,-266.665635129573,-0.812089108850605,4.05142863645445e-21,-2.4310189888637e-21,14.2165251971436,1.5424885666927,2.06916958793971,0.693303001222502,1.77586986693684,2.97659208398989,6.51768334981044,12.9220485830888,8.71982290566743,0.261524693326902,8.72447085322453,0.261323254788772,-225.765145824395,-1.20082746414365
2600,-14.4734491005899,-266.554990477989,-266.665668907094,-0.812089290549214,1.23044356583739e-20,-6.85168989572961e-21,14.2165261588192,1.54248820891537,2.06916963197836,0.693302991869662,1.77587014845262,2.97659302205847,6.51769093977889,12.9220650589633,8.71984416464254,0.261523928335944,8.72447145266738,0.261323311033265,-225.76675771605,-1.20078994559569
2700,-14.4734493465069,-266.555918101115,-266.665692635912,-0.812091063554627,1.36552352813113e-20,-7.71306784874178e-21,14.2165273728263,1.54248772982433,2.0691696502776,0.693302947914523,1.77587069531946,2.97659455735915,6.51770744897671,12.9220997901038,8.71989627914765,0.261519797832421,8.72447225397491,0.261323373658751,-225.770980313264,-1.20051582561249
2800,-14.4734495714096,-266.561205870055,-266.665689821698,-0.812091277665069,9.88997822005533e-21,-6.21858435413732e-21,14.2165291477213,1.5424874523206,2.06916969143485,0.693302940250868,1.77587062170612,2.9765949291697,6.51770782327517,12.9221036392528,8.72021950568043,0.261513957375226,8.72447348923281,0.261323409545992,-225.801628125507,-1.20005167228044
2900,-14.4734497592602,-266.562931431455,-266.665704742088,-0.812091067749061,1.31414049892168e-20,-7.16222675349072e-21,14.2165302357939,1.54248730479878,2.06916973025468,0.693302948691996,1.7758708111975,2.976595389768,6.51771185424901,12.9221101672516,8.72031372811117,0.261511428350681,8.72447416854,0.261323448566822,-225.809439498252,-1.19984222801167
3000,-14.4734499186157,-266.562831307818,-266.665275074487,-0.812090352483801,1.1016798421523e-20,-6.9401190398983e-21,14.2165307367245,1.54248677774294,2.06916973032329,0.693302896915488,1.77587141574893,2.97659703403846,6.51772260135576,12.9221359934463,8.72030133384342,0.261470789862726,8.72447451390223,0.26132351489972,-225.807780227481,-1.19635063406661
3100,-14.4734500597686,-266.561620051451,-266.665256751007,-0.812089791844422,9.89979207289252e-21,-6.72160839159043e-21,14.2165314107571,1.54248652699527,2.06916975469124,0.693302904203206,1.77587151028268,2.97659732810437,6.51772720783484,12.9221443817506,8.72029647352027,0.261466452065375,8.72447499605501,0.26132354014612,-225.806429214472,-1.19605925841357
3200,-14.4734501853176,-266.563464948596,-266.665299333472,-0.812089864947989,1.20075083479048e-20,-7.2961851871589e-21,14.2165322686864,1.54248630312718,2.06916976088709,0.693302883029594,1.77587178372468,2.97659814966371,6.51773319357446,12.9221587998163,8.72037691577676,0.261466552240429,8.72447562101285,0.261323603531069,-225.813644426444,-1.19615825092961
3300,-14.473450296459,-266.563376532122,-266.665325845949,-0.812090860825543,1.25443895733636e-20,-7.14244467497903e-21,14.2165328636893,1.54248609497078,2.06916977401952,0.693302852651879,1.77587220690895,2.97659940927153,6.51774205879101,12.9221810727742,8.72042019849091,0.261466276479032,8.72447598775649,0.261323632385443,-225.817495773508,-1.19615647084205
3400,-14.4734503944511,-266.563394206505,-266.665292856447,-0.812090496917463,1.16854236930987e-20,-6.58693977156967e-21,14.2165333548987,1.54248579293352,2.0691697940129,0.693302847522677,1.77587215955748,2.97659938329781,6.51774141287661,12.9221787947574,8.72043244964704,0.261458216229683,8.72447629287986,0.261323666139249,-225.818490374938,-1.19557207744456
3500,-14.4734504796515,-266.56273229439,-266.66529134,-0.812090547449891,1.18069802083509e-20,-6.60680237668903e-21,14.2165339402856,1.54248566023066,2.06916981934665,0.693302860469869,1.77587186876121,2.97659879840696,6.51773666511209,12.9221668131084,8.72044185052671,0.261455954088129,8.72447670841666,0.261323685884954,-225.818892109515,-1.19538994913946
3600,-14.4734505542567,-266.564910462242,-266.665254713113,-0.812090344364872,2.15279252697435e-20,-1.10982607568547e-20,14.2165346208589,1.54248542862434,2.06916984259778,0.693302878568667,1.77587146441078,2.97659800671098,6.51772985728686,12.922150972856,8.72054048016766,0.261448725208434,8.72447718466378,0.261323715358373,-225.828580086229,-1.19484225604033
3700,-14.4734506239585,-266.594252839758,-266.665241145491,-0.812090697357026,1.24574569912906e-20,-6.97728368825175e-21,14.2165355150334,1.54248532009421,2.06916984561747,0.693302867434547,1.77587145018001,2.97659812579276,6.51772974516145,12.9221516717577,8.72165791949256,0.261444631219376,8.72447789028389,0.261323741873513,-225.961583259122,-1.19447414177857
3800,-14.473450685711,-266.606706805426,-266.665223720502,-0.812090735505101,1.24529229256114e-20,-6.91872113816641e-21,14.2165359994532,1.54248520113063,2.06916984942739,0.693302850418943,1.77587177085451,2.97659886455615,6.51773659538061,12.9221658109738,8.72211990859849,0.261441498301692,8.72447819822246,0.261323759117218,-226.016748173942,-1.19421441169046
3900,-14.4734507401228,-266.610546529764,-266.665217160368,-0.812090653583165,1.37042139131967e-20,-7.47767554016368e-21,14.2165365242274,1.54248511649417,2.06916986622467,0.693302859899624,1.77587168008509,2.97659874652998,6.51773606962001,12.9221644802378,8.72225786199829,0.261439324693421,8.72447858722983,0.261323768733295,-226.031403964158,-1.19404605228556
4000,-14.4734507903249,-266.611524445199,-266.665221801098,-0.812090945621343,1.47021747448835e-20,-8.15869289648313e-21,14.2165367707125,1.54248501240419,2.06916986783246,0.693302847423207,1.77587195232334,2.97659941679317,6.5177425276163,12.9221789497971,8.72229294462916,0.261438172089415,8.72447874229139,0.261323783653991,-226.034923388358,-1.19397238556716
4100,-14.4734508360029,-266.613293960882,-266.665207462835,-0.812090946181001,1.41223155537305e-20,-7.90728063032263e-21,14.2165370898082,1.54248496738427,2.06916988851585,0.69330286303374,1.77587179460983,2.97659919649439,6.51774033254536,12.9221746616091,8.72236560212147,0.261435742477855,8.72447895243267,0.26132380161907,-226.042649249315,-1.19375309847386
4200,-14.4734508785724,-266.613439294771,-266.665199397408,-0.812090875101733,1.46615846739811e-20,-8.22040969125791e-21,14.2165373403164,1.54248492102568,2.06916989396124,0.693302858033311,1.77587185420765,2.97659940447149,6.51774166953886,12.9221778834012,8.72239019296429,0.261434109820321,8.72447913150115,0.261323804371728,-226.044974711942,-1.19360014745936
4300,-14.4734509164155,-266.613477040588,-266.66518579134,-0.812090897925022,1.55498470306914e-20,-8.65073672035317e-21,14.2165375839737,1.54248486940773,2.06916989916245,0.693302854545893,1.77587202004953,2.97659985329265,6.51774584610619,12.9221878891617,8.72241057888525,0.261432094917856,8.72447928441239,0.261323829683482,-226.046945792004,-1.19343162950238
4400,-14.4734509511449,-266.61295349116,-266.665163805244,-0.812090870438493,1.52172684515297e-20,-8.67611612030638e-21,14.2165378263769,1.54248476203758,2.0691699041854,0.693302855909965,1.77587192993171,2.97659973899563,6.51774419406903,12.9221846319074,8.72243114601559,0.261427828594762,8.72447946359855,0.261323842551888,-226.047814149543,-1.19309788717533
4500,-14.4734509838264,-266.613166115492,-266.665138545958,-0.812090983701769,1.55128183515635e-20,-8.77321672502841e-21,14.2165379496997,1.542484704906,2.06916991630299,0.693302865270171,1.77587177879732,2.97659946391438,6.51774219825926,12.922180049366,8.72243374801802,0.261424934851493,8.72447953051656,0.261323854942959,-226.047975169135,-1.19284838055376
4600,-14.4734510134039,-266.613298860213,-266.665093587926,-0.812091121246359,1.49506194526295e-20,-8.63145702189871e-21,14.2165380537644,1.54248464160375,2.06916992333268,0.693302868503767,1.77587169094324,2.97659932363965,6.51774139205552,12.9221783575028,8.72243758278982,0.261420498444392,8.72447959323899,0.261323868491499,-226.048329452274,-1.19244231229968
4700,-14.4734510393061,-266.613165877439,-266.665010418085,-0.812090887101996,1.6868268498178e-20,-9.46608892479768e-21,14.2165382013628,1.54248453684411,2.06916992583457,0.69330286502328,1.7758717432672,2.9765994912242,6.51774274140974,12.922181769749,8.7224385795866,0.261411713933773,8.72447969116779,0.261323885289745,-226.04817689877,-1.19167753649855
4800,-14.4734510630842,-266.613135942237,-266.664977554315,-0.812090728568886,1.52593763438951e-20,-8.55885371547307e-21,14.2165383368567,1.54248447045324,2.06916992966269,0.693302864607405,1.77587176557497,2.97659956163054,6.51774363478007,12.9221835475979,8.72245209185935,0.261407588034507,8.72447977681562,0.261323894501929,-226.049452567371,-1.19131945396674
4900,-14.4734510847411,-266.614092119046,-266.664963253904,-0.81209091480113,1.4190033015535e-20,-8.07784831563196e-21,14.2165385084537,1.54248442601501,2.0691699337166,0.693302862498913,1.77587175000715,2.97659956773296,6.51774326769753,12.9221829198702,8.72249531972016,0.261405164305703,8.72447989499459,0.261323900020519,-226.054035114719,-1.19111158310528
5000,-14.4734511045582,-266.614843341494,-266.664938222416,-0.812091034603863,1.36650259826817e-20,-7.84988202228413e-21,14.2165386645212,1.54248439351567,2.06916994018294,0.693302865196595,1.77587169671467,2.97659949350045,6.51774260485918,12.9221817478767,8.72252496420128,0.261402542642811,8.72447999610863,0.26132390835579,-226.057263168037,-1.19086904132534
5100,-14.4734511229656,-266.615725403524,-266.664944829537,-0.812091120190375,1.36004916837498e-20,-8.08960615251044e-21,14.2165387737583,1.54248435578682,2.06916994100237,0.69330285962625,1.77587182143117,2.97659977726159,6.51774548136517,12.9221873357885,8.72256037014349,0.261402639556556,8.7244800662962,0.26132391118423,-226.061066115755,-1.19089066736873
