Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
100,-14.4287676835931,-264.501745088768,-268.642645344111,-0.908157997658007,,,14.2694462464374,1.50587438777611,2.03591449368614,0.619451619891207,2.62628477991809,4.69729275576084,16.981608273424,34.8069343963769,8.62311483536883,0.271858389923243,8.78289553157582,0.263772528189315,-215.386770624018,-1.60801875242359
200,-14.4276931577471,-265.244847322129,-268.676620348636,-0.904953929516697,,,14.2731773550438,1.50567045645519,2.03753968071204,0.622005332601758,2.55903694212124,4.56771873285246,15.8417682023361,32.5510321150007,8.64752488336007,0.267475714622853,8.78516443356524,0.264023911054039,-217.025118933911,-1.43261269668266
300,-14.4299072227803,-267.303374006129,-268.742086520104,-0.907852610970737,,,14.2745391779885,1.50367961616596,2.03596162344866,0.619255232023201,2.6333941272248,4.71394227530766,17.1887077375772,35.222005725833,8.7303846196083,0.266116780745636,8.78669764133123,0.263997189813678,-222.90486972624,-1.37398110316127
400,-14.4300097687882,-267.813173177516,-268.746848007417,-0.908045397655947,,,14.2750012479654,1.50345834199628,2.03596501952276,0.619236341743295,2.63371297550472,4.71486618303021,17.20134928855,35.2486452630742,8.75026069377275,0.265072226368524,8.78703525350381,0.264025561665435,-224.503296115369,-1.31741194507487
500,-14.4300398959605,-268.097430227738,-268.75421254677,-0.908109862804348,,,14.2752002130967,1.50341339939749,2.03596445827949,0.619228951568112,2.63403052643073,4.71558212710893,17.2104444799789,35.2677030642802,8.76184221941095,0.265143434787088,8.78718666282764,0.264029753840911,-225.482036908687,-1.32497990434055
600,-14.4300475792534,-268.380818002857,-268.751952068388,-0.908097363756995,,,14.2752751441335,1.50337459946116,2.03596371486355,0.619225046665212,2.63423450106468,4.71602145348896,17.2155896161772,35.2784202430718,8.77225746742188,0.26466013928732,8.78724423088264,0.264034744949846,-226.457530701746,-1.29502036565007
700,-14.4300534057591,-268.411324696754,-268.75382028053,-0.908148285742901,,,14.2753245032667,1.5033681975975,2.03596337430768,0.619222220563473,2.63436373549828,4.71630042491736,17.2194162901637,35.286250402045,8.77397230006004,0.264685260771436,8.78728094630138,0.264036288597372,-226.584887412923,-1.29723325052455
800,-14.43005784235,-268.527826217026,-268.754573468686,-0.90815476724896,,,14.2753468317856,1.50336611340255,2.03596567993722,0.619225099898075,2.63431143904933,4.71621282757359,17.2190843919513,35.2855928368427,8.77825398797563,0.264684658149731,8.78729610589942,0.264036760059952,-227.013465388614,-1.29734298321733
900,-14.4300607501101,-268.520526566423,-268.751304443234,-0.908130276915574,,,14.27535310583,1.5033549528967,2.03596673270124,0.619226259639197,2.63427261918311,4.71614264959434,17.2184648570771,35.2843346705331,8.77789347889164,0.264333413979757,8.78729941940867,0.264038079269622,-226.971324159975,-1.27202131112333
1000,-14.4300626157248,-268.526961550852,-268.75186881543,-0.908138248461457,,,14.2753650643602,1.50335242877856,2.03596703293202,0.619226397369363,2.63425628551769,4.71611744082363,17.2181933456466,35.2838411078639,8.77826171584513,0.264341438112004,8.78730831871205,0.264038393171288,-226.996304896681,-1.27315610015253
1100,-14.4300634554311,-268.518859480423,-268.752020648619,-0.908142539820113,,,14.2753698968378,1.50335162567231,2.03596721247034,0.619226344596978,2.63427213366611,4.71615045778042,17.2186828119138,35.28480619627,8.77809420195936,0.264339067770233,8.78731144034118,0.264038724827741,-226.97571968868,-1.27308188730904
1200,-14.4300641986987,-268.517914709701,-268.752000004983,-0.908139871654733,,,14.2753740366838,1.50334940038451,2.03596726323062,0.619226116865071,2.63428527334839,4.71617916775822,17.2190884436196,35.2856405594657,8.77813670081337,0.26432255305904,8.78731427613621,0.264038928588559,-226.97594512683,-1.27216391204274
1300,-14.4300648312631,-268.59795691776,-268.752205525533,-0.908149504423453,,,14.2753816287125,1.5033491134416,2.03596775568914,0.619226636521694,2.63427376313474,4.71615861762449,17.218944591786,35.285366302174,8.78105394500034,0.26431867509351,8.78731944794932,0.264039163994089,-227.292363276376,-1.27192093011404
1400,-14.4300653290407,-268.659086709114,-268.752307398672,-0.908148431709812,,,14.2753875430673,1.50334845955163,2.03596790563618,0.619226689943696,2.63427474586906,4.71616262625434,17.2190168834901,35.2855342274767,8.78316788851658,0.264311545296642,8.78732391444637,0.264039420022101,-227.52128495355,-1.27149433752111
1500,-14.4300657519334,-268.656084511781,-268.752344697005,-0.908151349423852,,,14.27539054488,1.50334820991239,2.03596811225702,0.619226883015947,2.63426881392909,4.71615243373459,17.2189337729757,35.2853679817359,8.78331296091516,0.264307531072276,8.78732595461338,0.264039474994316,-227.532533378293,-1.27123677634976
1600,-14.4300660895214,-268.658110310221,-268.750963775254,-0.908150767113751,,,14.275391827624,1.50334682608587,2.03596826099152,0.619227075679412,2.63425984208577,4.71613497651191,17.2187465987535,35.2849718388721,8.78335604644585,0.264171438829778,8.78732678856671,0.264039625153847,-227.536204126658,-1.25969776111671
1700,-14.430066354441,-268.65687617122,-268.750968889108,-0.908149094954363,,,14.2753933248828,1.5033460801375,2.03596838172424,0.619227193275546,2.63425559217306,4.71612757408899,17.2186678726412,35.2848175778652,8.78335624838111,0.264163620439298,8.78732779623764,0.26403974645585,-227.534739395419,-1.25927119938582
1800,-14.4300665663707,-268.658176599535,-268.751160985523,-0.908151177997215,,,14.2753945945834,1.50334568467287,2.03596837198504,0.619227115141808,2.63425877868736,4.71613509740409,17.2187619197738,35.2850228456449,8.78345947315855,0.264171766170665,8.78732864318204,0.264039822992243,-227.543226964709,-1.26010395212351
1900,-14.4300667337111,-268.654220040513,-268.751096442862,-0.90815071077888,,,14.275395670344,1.50334506613911,2.03596844258594,0.619227154817243,2.63425854381927,4.71613519448409,17.2187808086124,35.2850616918343,8.78339358314179,0.264161686728287,8.78732941096999,0.264039925502164,-227.53387176818,-1.25945316728245
