Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
100,-7.40959896080492,-75.8450938242015,-77.4388984620016,-0.396615701069939,0.0460701246345908,-0.0374361845744021,9.96008347510382,1.4230473256669,1.87946147374727,0.698695389754218,1.95443980153788,3.46527136583814,9.24844099847822,18.5481673108119,4.44647869629056,0.181988933636669,4.55488857617721,0.177258562780783,-93.7282868187631,-0.121956820791225
200,-7.41009719141447,-76.9142858739879,-77.5041458308071,-0.3964941629707,0.0470390613708682,-0.0377573176155701,9.96614960180736,1.42217294560913,1.87962553791833,0.698799470087547,1.95686205271685,3.47015942487138,9.30861706709339,18.6682263772461,4.5185642820302,0.179532841843828,4.55824866150943,0.177387937853347,-98.1832979729456,-0.0240744223055195
300,-7.41014867838006,-77.3123988372351,-77.5077362704223,-0.396425674062341,0.0472055121765404,-0.0377176892364916,9.96688010367804,1.42192216049158,1.87963525952875,0.698804973138892,1.95698969105883,3.47042978560254,9.31304514453135,18.6770892414504,4.5453287485573,0.178220267321591,4.55866589630558,0.177417542406271,-100.213386306133,0.0415999878424319
400,-7.4101540721898,-77.3922355383793,-77.5064173651143,-0.396419904024794,0.0472197732134281,-0.0376998641391996,9.96695660745024,1.42188298368165,1.87963494491242,0.698801828455594,1.95709819103997,3.47064908223371,9.3154914430276,18.6819844468181,4.55079967539454,0.17772649460887,4.55870844447252,0.177422724388763,-100.691233789929,0.0723671276375635
500,-7.41015544817647,-77.4280973868419,-77.5065986110915,-0.396423904247155,0.0472260146230414,-0.0377008847945172,9.96698062445733,1.42187817843146,1.87963504126284,0.69880162070934,1.95710995215837,3.47067301213969,9.31577441956026,18.6825494363273,4.55331210342972,0.177688988726887,4.55872189614761,0.177423676672269,-100.919283460755,0.0746345725516357
600,-7.41015572428438,-77.4666538245359,-77.5062302290208,-0.39642232425729,0.047227193548524,-0.037697960157691,9.96699001185174,1.42187520357279,1.87963491033664,0.69880125769881,1.9571203135961,3.47069360565333,9.31600016310561,18.682996784317,4.55593973449418,0.177585874693087,4.55872741980931,0.177424126017504,-101.185377261024,0.0824071266998889
700,-7.41015596900459,-77.4613297489238,-77.5063200754076,-0.396424694041835,0.0472279582733007,-0.0376983172122332,9.9669913885993,1.42187462828336,1.87963488624335,0.698801143544191,1.95712394025654,3.47070124390224,9.31607966869058,18.6831601727787,4.55563731960798,0.177597061747207,4.5587281046941,0.177424197085621,-101.150877173386,0.0814100340017873
800,-7.4101561657473,-77.4718496351378,-77.5062674849193,-0.396425203393831,0.0472280730990248,-0.0376996285708246,9.96699439041062,1.42187400040744,1.87963506226611,0.698801295930138,1.95712485933777,3.470703258291,9.31612622530698,18.6832535156684,4.5563526977179,0.177575677834545,4.55872965851972,0.177424325081197,-101.224924617183,0.0829660476028791
900,-7.41015628634959,-77.4726453869199,-77.5060052644115,-0.396425856549248,0.0472287859330741,-0.0376995130089819,9.96699558044208,1.42187313999823,1.87963514788818,0.698801392015027,1.95712345129057,3.47070051388335,9.31610496914712,18.6832109642448,4.55641753502128,0.177519692260027,4.55873017210893,0.177424520251967,-101.230912709612,0.0875713996995079
1000,-7.41015636513432,-77.4733465399319,-77.5059464434936,-0.396425750759219,0.0472290916630429,-0.0376997368896628,9.96699643641494,1.42187288963888,1.87963524022551,0.69880152194697,1.95712166358878,3.47069697322852,9.31607505917948,18.6831511510649,4.55647275439279,0.177505087561444,4.55873058661312,0.177424555795431,-101.235853206422,0.0887562971253966
1100,-7.41015639893441,-77.485368035756,-77.5059767750733,-0.396425710315643,0.0472290929177664,-0.0376998799362035,9.96699752718545,1.42187285331005,1.87963525839457,0.698801545292802,1.95712160375534,3.47069686244214,9.31607899054741,18.6831587547679,4.55726223051914,0.177508090219578,4.55873123529305,0.177424558055738,-101.324312639834,0.0884807274726811
1200,-7.41015642993641,-77.4824146428573,-77.5059876363199,-0.396425726196603,0.0472292514717687,-0.0376996403664227,9.96699759339007,1.42187280473189,1.87963526916689,0.698801559162454,1.95712144100239,3.47069656512702,9.31607635850429,18.6831537008595,4.55710494024799,0.177509633064089,4.55873125525624,0.177424564344729,-101.305260973501,0.0883308634149896
1300,-7.41015645334263,-77.4893067976667,-77.5058360237922,-0.396425517504159,0.0472294633118506,-0.0376989650272655,9.96699812936124,1.42187247745231,1.87963526915844,0.698801547347459,1.95712175962212,3.47069718580757,9.31608446022358,18.6831693601118,4.55756752546674,0.177476976636618,4.55873155477192,0.177424607548259,-101.359314988972,0.0912256299063867
1400,-7.41015647054894,-77.4889185354734,-77.505829380792,-0.396425597085902,0.0472295848134855,-0.0376986257104468,9.96699837349061,1.42187243184238,1.87963527935108,0.698801555848569,1.9571217439849,3.47069716782049,9.31608452458696,18.6831694858321,4.55754814372324,0.177474234425629,4.55873169274699,0.177424630258875,-101.356351439824,0.0914860091383669
1500,-7.41015648383432,-77.4896913169228,-77.505828527925,-0.396425730947502,0.0472297101390094,-0.0376984237117316,9.96699854386872,1.42187239680115,1.87963528793212,0.698801562912634,1.95712163144353,3.47069697822946,9.31608298261606,18.6831668897446,4.55759144681818,0.177473450448767,4.5587317633849,0.177424641641264,-101.36101641018,0.0915605521554386
1600,-7.4101564939242,-77.4920209204794,-77.5058110177942,-0.396425697595523,0.0472296161056874,-0.0376986597649972,9.96699878826808,1.4218723312173,1.87963529865705,0.698801579026254,1.95712143789133,3.47069659806224,9.31608011556593,18.6831612337741,4.55776026479841,0.177468032629243,4.55873188795595,0.177424654680212,-101.380141139677,0.0920363427234356
1700,-7.41015650176701,-77.4916121953974,-77.5057997836298,-0.396425642748913,0.0472295724329374,-0.0376988738441359,9.96699890387988,1.42187230395226,1.87963530509908,0.698801587189338,1.95712136098784,3.4706964531236,9.3160795436079,18.6831600751775,4.55774745879578,0.177465693449609,4.55873195235767,0.177424659588748,-101.3781833847,0.0922508736253073
1800,-7.41015650794148,-77.4955369920267,-77.5057916088635,-0.396425667447951,0.04722969210828,-0.0376987736616874,9.96699905582576,1.42187226398834,1.87963530781963,0.698801591145396,1.95712132007366,3.47069638219931,9.31607960975462,18.6831604585478,4.55799801654569,0.177463728590418,4.55873203811026,0.177424665773788,-101.409183991739,0.0924021385185768
1900,-7.41015651277792,-77.496676705523,-77.5057255656762,-0.39642566638374,0.0472297314056996,-0.037698716533128,9.9669991879504,1.42187220073061,1.8796353086128,0.698801590815379,1.95712127620871,3.47069627617424,9.31607844794392,18.6831577129479,4.55808065465078,0.177450006277074,4.55873211767881,0.177424673405097,-101.418277847366,0.0937714116635334
2000,-7.4101565165318,-77.4977730451622,-77.505733945021,-0.396425717319537,0.0472297070777892,-0.0376988302274123,9.96699926652886,1.42187218682993,1.87963531038154,0.698801592112517,1.95712125856519,3.47069625001901,9.31607832926554,18.6831576230263,4.55816239127937,0.177451204812063,4.55873215617748,0.177424677307787,-101.428492514271,0.093639360014216
2100,-7.41015651934816,-77.4977361762564,-77.5057352185098,-0.396425737936394,0.047229717345769,-0.0376987546393792,9.96699930282157,1.42187217391795,1.87963531163333,0.698801592680225,1.9571212548456,3.47069624003856,9.31607840696161,18.6831576775497,4.55816022944158,0.177451558420268,4.55873217373992,0.177424680691412,-101.428153398022,0.0935933410146716
