Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
200,-7.4779120726761,-77.8803899450765,-78.5496461197981,-0.435847855103843,,,10.0787562032018,1.46104180343964,1.90600179446693,0.732730404312457,1.66315628007032,2.88940851035959,6.11637560476615,12.2788322023548,4.56681371089577,0.184410849757701,4.6132950474702,0.181379912254194,-98.9457655703161,-0.0640713849743191
300,-7.47805720308475,-78.4188943544528,-78.5577281854288,-0.435591013542847,,,10.0802637134833,1.46041366681675,1.90603557305536,0.73273689895234,1.66316172469146,2.88943911956025,6.11788033376746,12.2819680929828,4.60466609758933,0.181954872755473,4.61416937861835,0.181438159150617,-101.806745093307,0.0527216271453213
400,-7.47805940348679,-78.4907523874131,-78.5572111885117,-0.435596935046754,,,10.0803066651943,1.46039815031544,1.90603641880978,0.732737001226364,1.66317203253559,2.88946041462973,6.11811616084824,12.2824356481193,4.6096260478651,0.181722655875879,4.61419394393339,0.181440489049728,-102.267733506389,0.067939033834196
500,-7.47805996971751,-78.521396285888,-78.5571840162205,-0.435598727882372,,,10.0803180232991,1.46039596529089,1.90603675909617,0.732737221677832,1.66317346780319,2.88946351531056,6.11817365839294,12.2825499231746,4.61178741190324,0.18168232657466,4.6142002460275,0.181440975960936,-102.488342490158,0.0707168429557426
600,-7.47806006807216,-78.5298524462351,-78.5565355172956,-0.435597500142537,,,10.080319784552,1.46039355241752,1.90603679950495,0.732737218235141,1.66317485258222,2.88946638918529,6.11820057726477,12.2826042994354,4.61232893028503,0.181543020104608,4.61420114873468,0.181441333230191,-102.546051707463,0.0817173759512176
700,-7.47806015637655,-78.5315141160203,-78.5565700445655,-0.43559755836924,,,10.0803210306843,1.46039334636911,1.90603686355378,0.732737269255907,1.66317506696171,2.88946689008586,6.11821051707987,12.2826239997472,4.61246637870603,0.181545867681041,4.61420184011598,0.181441388775721,-102.560153558981,0.0813555914058194
800,-7.47806021328825,-78.5301067575855,-78.5565475890352,-0.435597890797697,,,10.0803216785408,1.4603930624819,1.90603690695277,0.732737304774585,1.66317481848724,2.88946641105704,6.11820888704414,12.2826205425167,4.61238544153706,0.181537929758415,4.61420217243878,0.181441413394645,-102.55023919449,0.0819117465019857
900,-7.47806025331565,-78.537375710003,-78.5565344806156,-0.435597897924092,,,10.080322764123,1.46039293713466,1.90603694171509,0.732737340017493,1.66317452794905,2.88946584182239,6.11820604856406,12.2826146877802,4.61287090694457,0.181534215647899,4.61420279383687,0.181441435212836,-102.604129964032,0.0821949894362983
1000,-7.4780602769853,-78.5464384304146,-78.5563383902089,-0.43559774166228,,,10.0803234271136,1.46039258884456,1.90603694562484,0.73273733246819,1.66317449123992,2.88946580757633,6.11820580181181,12.2826147394811,4.61348882045764,0.181491307780174,4.6142031621961,0.181441479835186,-102.67738029268,0.0860473262280175
1100,-7.47806028611504,-78.5460181696191,-78.5563484761604,-0.435597769345632,,,10.0803235513515,1.46039252444328,1.90603694617601,0.732737327411495,1.66317444834957,2.88946571900418,6.11820464523502,12.2826123068699,4.61346033200673,0.181492659012254,4.61420322607428,0.181441488526504,-102.673215547089,0.0858826804141579
1200,-7.47806029447229,-78.5446043540287,-78.5563585055123,-0.435597879123007,,,10.0803235890339,1.46039250097274,1.90603694849256,0.732737329918317,1.66317441181414,2.88946563924476,6.11820468590376,12.2826122336273,4.61337323620059,0.181494248764963,4.61420324898523,0.181441500341585,-102.662320940741,0.0857216611804565
1300,-7.4780603004587,-78.5462376666656,-78.556360098446,-0.435597912275877,,,10.0803236948397,1.4603924598952,1.90603694963031,0.732737329125504,1.66317444230867,2.88946570562314,6.11820522168539,12.2826133585092,4.6134771393542,0.181493969360504,4.61420331609068,0.181441511318934,-102.675000237986,0.0857360415776726
1400,-7.47806030522451,-78.5459903282197,-78.5562302520106,-0.435597793978704,,,10.0803237719619,1.46039234139759,1.90603695263452,0.732737330688298,1.66317444604903,2.88946571947545,6.11820560124908,12.2826141479658,4.61348046520779,0.181466740139257,4.6142033517188,0.181441521775584,-102.675423031482,0.0883825110516732
1500,-7.47806030911612,-78.5461342971457,-78.5562362439425,-0.435597854917767,,,10.0803238400179,1.46039232073387,1.90603695387145,0.732737330328585,1.66317445440644,2.88946573576848,6.1182058673061,12.2826146531556,4.61349826377454,0.181467527745408,4.61420338973409,0.181441526544424,-102.677538191589,0.0882840300353167
1600,-7.47806031220565,-78.5486787391727,-78.5562363793269,-0.43559781438677,,,10.0803239869435,1.46039230651959,1.90603695532039,0.732737331387144,1.66317444047861,2.88946570419613,6.11820568456837,12.2826142441425,4.61368473350556,0.18146748226432,4.6142034744672,0.181441527567466,-102.700112505384,0.0882761383813694
1700,-7.47806031463307,-78.5489099240333,-78.5562491328436,-0.435597821206238,,,10.0803240183066,1.46039230210397,1.90603695674904,0.73273733236713,1.6631744196759,2.88946566173349,6.11820541635752,12.2826136643061,4.61370072339856,0.181469475144013,4.61420348939427,0.18144152899312,-102.702067571809,0.0880643343920223
1800,-7.47806031650264,-78.5489786820831,-78.556244865097,-0.435597834491829,,,10.0803240532879,1.46039229594655,1.90603695782642,0.732737332321951,1.66317441764294,2.88946566334365,6.11820539227445,12.2826136762011,4.61370803666057,0.181469014905073,4.61420350657872,0.181441529709961,-102.702807509181,0.0881121013285883
1900,-7.47806031797992,-78.5489396476476,-78.5562530207692,-0.43559785908001,,,10.080324069174,1.46039229191981,1.90603695872645,0.732737332632741,1.66317441844342,2.8894656658788,6.11820543083826,12.2826137502465,4.61370789206175,0.18147021673016,4.61420351382183,0.181441531266825,-102.702777009462,0.0879846518765616
2000,-7.47806031912306,-78.5518781915344,-78.5562501480192,-0.435597853596565,,,10.0803241211566,1.4603922777171,1.90603695949151,0.732737333018624,1.66317441739111,2.88946566251042,6.11820546980033,12.2826137794588,4.61388956874384,0.181468936433292,4.61420354634798,0.181441533745504,-102.726757830524,0.0880996428401189
2100,-7.47806032003525,-78.5519668799588,-78.5561877409507,-0.435597834538002,,,10.0803241343584,1.46039225054462,1.90603695939834,0.732737333058504,1.66317440852597,2.88946564738341,6.11820534974471,12.2826135783349,4.61389441180667,0.181456379458357,4.6142035556386,0.181441536273059,-102.727327087956,0.0894267086956556
2200,-7.47806032071515,-78.5520042123431,-78.5561889133654,-0.435597840871893,,,10.0803241621245,1.46039224585076,1.90603695967652,0.73273733315674,1.66317441066759,2.8894656518147,6.11820543031509,12.2826137391174,4.6139169081631,0.181456406730947,4.61420356938209,0.181441538298712,-102.729885151573,0.0894174706898489
2300,-7.47806032126051,-78.5520149088932,-78.5561896343295,-0.435597837064536,,,10.0803241713507,1.46039224108674,1.90603695988367,0.732737333196856,1.66317440863279,2.88946564822187,6.11820538340091,12.2826136443243,4.61391865799133,0.181456452549035,4.614203575225,0.181441539456289,-102.730090416982,0.0894047014678418
2400,-7.47806032169892,-78.5520173037064,-78.5561892057502,-0.435597836978881,,,10.0803241766956,1.46039223816365,1.90603695990728,0.73273733301609,1.66317441012001,2.88946565165282,6.11820540956885,12.2826137004496,4.61391918829153,0.181456349070889,4.61420357855194,0.181441539608335,-102.73015583799,0.0894129888069414
2500,-7.47806032204658,-78.5524335234054,-78.5561886147226,-0.435597837518711,,,10.0803241893806,1.4603922359136,1.90603696004523,0.732737332998763,1.66317440981146,2.88946565147782,6.11820541196729,12.282613709765,4.61394575013795,0.181456214017491,4.61420358673753,0.181441539997045,-102.733581130915,0.089425635647489
2600,-7.47806032232981,-78.5526379457755,-78.5561878396117,-0.435597835826404,,,10.0803241958698,1.46039223483186,1.90603696023006,0.732737333136129,1.66317440873428,2.88946564923028,6.11820540472503,12.2826136904658,4.61395478356313,0.181456099829879,4.61420359066773,0.181441540354286,-102.73480142483,0.0894369451489659
2700,-7.47806032256197,-78.5526143672893,-78.5561880358571,-0.435597838076651,,,10.0803242006548,1.46039223383232,1.90603696039975,0.732737333286153,1.66317440820995,2.88946564831993,6.11820539802854,12.2826136790186,4.61395457201237,0.181456101492212,4.61420359310394,0.181441540714153,-102.734745525454,0.0894359455527659
2800,-7.47806032275022,-78.5526172276267,-78.5561858874145,-0.435597839636976,,,10.0803242055335,1.46039223069343,1.90603696036426,0.732737333149148,1.66317440909747,2.88946565048298,6.11820541495562,12.2826137184327,4.61395617097405,0.181455741534046,4.6142035946755,0.181441541149918,-102.734902835503,0.0894706810490227
2900,-7.4780603229063,-78.5541303159417,-78.5561887163253,-0.435597838273294,,,10.0803242182942,1.46039222839568,1.90603696039104,0.732737333097622,1.66317440894902,2.88946565001253,6.11820541768541,12.2826137198662,4.6140576901712,0.18145579032872,4.61420360238543,0.181441541433436,-102.749404518776,0.0894566111663214
3000,-7.47806032304871,-78.5541392859998,-78.5561888792292,-0.435597838078583,,,10.0803242209788,1.46039222753773,1.90603696047813,0.732737333144685,1.66317440857779,2.88946564912271,6.11820541443476,12.2826137081902,4.6140588403234,0.181455777227444,4.61420360401623,0.181441541796861,-102.749543415606,0.0894568346899382
