system        expectation_value  ref_value                      uncertainty                    source        

infBe_1Po-01  Energy             -1.447345138686919874260e+01   1.571315522141958354041e-09    our_calc_16400
infBe_1Po-01  MV                 -2.666590888071175982077e+02   1.594313602026886655949e-05    our_calc_16400
infBe_1Po-01  drach_MV           -2.666644627934250593171e+02   5.985582845369208371267e-06    our_calc_16400
infBe_1Po-01  OO                 -8.120914765591400463762e-01   4.156473876193444993987e-08    our_calc_16400
infBe_1Po-01  1/r^2_1            1.421654076197174632057e+01    8.542075491391187824775e-09    our_calc_16400
infBe_1Po-01  1/r^2_12           1.542483736797956472842e+00    5.425127014291319937911e-09    our_calc_16400
infBe_1Po-01  1/r_1              2.069169995852647492285e+00    3.319922114997098105960e-11    our_calc_16400
infBe_1Po-01  1/r_12             6.933028598213172299936e-01    6.163536347969511552947e-10    our_calc_16400
infBe_1Po-01  r_1                1.775871778505661469083e+00    3.678178650545760319801e-09    our_calc_16400
infBe_1Po-01  r_12               2.976600188092246579430e+00    1.440342156655560756917e-08    our_calc_16400
infBe_1Po-01  r^2_1              6.517748468239564552107e+00    6.669287611060781273409e-08    our_calc_16400
infBe_1Po-01  r^2_12             1.292219576959018745299e+01    2.062906130362307521864e-07    our_calc_16400
infBe_1Po-01  delta(r_1)         8.724265747607576670930e+00    2.861620091110239627596e-06    our_calc_16400
infBe_1Po-01  delta(r_12)        2.613439405287121264365e-01    7.011913911725287107402e-07    our_calc_16400
infBe_1Po-01  drach_delta(r_1)   8.724481440729171310977e+00    4.958151222922424494755e-09    our_calc_16400
infBe_1Po-01  drach_delta(r_12)  2.613240323809497001051e-01    7.205089858075552911032e-10    our_calc_16400
infBe_1Po-01  prval(r_1)         -2.262802204588752488235e+02   3.551233506868811673485e-04    our_calc_16400
infBe_1Po-01  prval(r_12)        -1.185257894829253588753e+00   7.225979800651316509175e-05    our_calc_16400
infBe_1Po-01  SO1                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_16400
infBe_1Po-01  SO2                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_16400

infBe_1Se-01  Energy             -1.466735650836045579126e+01   1.221224010805599391460e-09    our_calc_16000
infBe_1Se-01  MV                 -2.707009046406348033997e+02   2.281814956290872942191e-04    our_calc_16000
infBe_1Se-01  drach_MV           -2.707035257073455909449e+02   1.098854993415443459526e-04    our_calc_16000
infBe_1Se-01  OO                 -8.918236878758089014596e-01   1.029101748262206683648e-08    our_calc_16000
infBe_1Se-01  1/r^2_1            1.439943850469406250170e+01    7.416051772679566056468e-09    our_calc_16000
infBe_1Se-01  1/r^2_12           1.589480282408453959420e+00    1.169462593431092045648e-08    our_calc_16000
infBe_1Se-01  1/r_1              2.106837788874257100247e+00    7.391198764139517152216e-11    our_calc_16000
infBe_1Se-01  1/r_12             7.291152675161800544856e-01    5.102755995523011733894e-10    our_calc_16000
infBe_1Se-01  r_1                1.493102992049722743673e+00    1.986272035736647012527e-09    our_calc_16000
infBe_1Se-01  r_12               2.545291338165161398877e+00    6.574000011028147127945e-09    our_calc_16000
infBe_1Se-01  r^2_1              4.061541831414313463711e+00    2.337578752786839686451e-08    our_calc_16000
infBe_1Se-01  r^2_12             8.808305927686744141170e+00    6.429042187505729089025e-08    our_calc_16000
infBe_1Se-01  delta(r_1)         8.842146425592249059378e+00    9.487297743859812726441e-06    our_calc_16000
infBe_1Se-01  delta(r_12)        2.675556556376724737234e-01    1.101238276079996580847e-05    our_calc_16000
infBe_1Se-01  drach_delta(r_1)   8.842251648559150467577e+00    4.414767218463566678111e-09    our_calc_16000
infBe_1Se-01  drach_delta(r_12)  2.675509167468869131667e-01    1.452149511749212251743e-09    our_calc_16000
infBe_1Se-01  prval(r_1)         -2.294201526542001090547e+02   1.184938710878213896649e-03    our_calc_16000
infBe_1Se-01  prval(r_12)        -1.221781540053425096914e+00   1.306767941545938782610e-03    our_calc_16000
infBe_1Se-01  SO1                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_16000
infBe_1Se-01  SO2                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_16000

infBe_3Po-01  Energy             -1.456724422885272751671e+01   5.555151005864900071174e-09    our_calc_15000
infBe_3Po-01  MV                 -2.664754931058264446619e+02   2.305983719793402997311e-03    our_calc_15000
infBe_3Po-01  drach_MV           -2.664903969649488999494e+02   7.041139986085909185931e-05    our_calc_15000
infBe_3Po-01  OO                 -7.293917474754850749363e-01   1.147263720691071853253e-07    our_calc_15000
infBe_3Po-01  1/r^2_1            1.422764233879430761931e+01    1.196123271540727728279e-07    our_calc_15000
infBe_3Po-01  1/r^2_12           1.561069963040913055607e+00    1.292037765665554616135e-08    our_calc_15000
infBe_3Po-01  1/r_1              2.089104995859651037193e+00    1.642496805231985490536e-09    our_calc_15000
infBe_3Po-01  1/r_12             7.151985776022528051854e-01    4.108904883004527164303e-09    our_calc_15000
