Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-1693.71989649636,-17904.157009385,,-371.047898812011,8759.35227335248,-0.0052486469372982,224814.279864417,48.2641129050724,48.4107880569123,6.04031794885717,410.622384248938,3.98376065914101,3.98507212443655,1.52087508344488,0.00304416097537516,0.661860712324439,0.661845816058291,1.09843186323255,1.11203044220819e-05,0.740074124034335,0,50.3916154854387,52.6756625345268,1.91448685757521,362.489607106559,50.2257201091816,53.0120444556501,1.90136449841379,184625546.134028,-1578.77960931215,-1732.89590975389,-26.3216421529528
1000,-1693.72081256635,-17915.6102437484,,-371.046471866387,8759.44832420225,-0.00525796399318635,224814.573273101,48.2604317414157,48.4110952632707,6.0386217452155,410.622497149756,3.98370637760265,3.98502234846719,1.52071579232458,0.00304416107264623,0.661950323327374,0.661935426989699,1.0987790425861,1.11203101053417e-05,0.740557479095024,0,50.2952803299674,52.8809855321599,1.90687822047683,88.5667021472804,50.22373918417,53.0123648309086,1.90143106791908,184627570.649089,-1571.7677964184,-1751.98557426768,-25.907287118842
1500,-1693.72099544187,-17918.3558397846,,-371.046733514364,8759.45835082189,-0.00525912170930197,224814.62757686,48.2601371991337,48.4111647506131,6.03832974308921,410.622523233153,3.98370477883995,3.98502109226888,1.52069472273077,0.00304416102274189,0.661950756604131,0.661935860733659,1.09881619259686,1.11203103638314e-05,0.74058316502105,0,50.2912643605184,52.9346198090608,1.9056197119439,63.3952475282968,50.223379242894,53.0123682055395,1.9014404333046,184627781.985506,-1571.46182543641,-1757.31144581012,-25.8386030095149
2000,-1693.72107344482,-17918.7680867928,,-371.046812586636,8759.4673370787,-0.00526029806577336,224814.658676135,48.2597720820188,48.4112424304551,6.03821394982383,410.622537618783,3.98370757994897,3.98502428437406,1.52068991481471,0.00304416098530826,0.661947498825714,0.661932602884626,1.09882352343478,1.11203103797312e-05,0.74058063781301,0,50.2558999468009,52.9412999885599,1.90413520025505,38.208288438092,50.2233130448791,53.0124300011331,1.90145171176751,184627971.39364,-1568.40430994904,-1757.87041506721,-25.7374089222869
2500,-1693.72110588304,-17920.976885517,,-371.046816116259,8759.47417725073,-0.00526065066747866,224814.671024773,48.2597009980741,48.4112767645915,6.03816401445155,410.622543188695,3.98370817305556,3.98502496112193,1.52068701986988,0.00304416095898341,0.661946750750709,0.661931854726733,1.09882878387948,1.11203101305106e-05,0.740583584013788,0,50.2532048144975,52.9792565278851,1.90396810054715,17.2458191433604,50.2232444226652,53.0124631654157,1.90145326335128,184628115.567599,-1568.18929548763,-1762.21572122757,-25.7292299043449
3000,-1693.72112160478,-17921.2321344732,,-371.046806797748,8759.47562723396,-0.00526084204486812,224814.67648271,48.2596285723409,48.4112965394712,6.03812728854521,410.622545355253,3.98370831061482,3.98502518361339,1.52068541356133,0.00304416096261821,0.661946720685283,0.66193182473518,1.09883169274554,1.11203102469125e-05,0.74058597992976,0,50.2430295137936,52.9831155182991,1.90286188595948,13.2473770333719,50.2232292093003,53.0124832397005,1.90145660661454,184628146.12967,-1567.228874134,-1762.56183190852,-25.6430865774407
3500,-1693.72112987714,-17921.2180069776,,-371.046858021587,8759.47694116722,-0.00526098133826336,224814.679582345,48.2596161984752,48.4113108405785,6.03811198512622,410.622546623079,3.98370865369803,3.98502555704624,1.52068476478018,0.00304416095903694,0.661946215241921,0.661931319296741,1.09883226962522,1.11203102370435e-05,0.740585323516951,0,50.241914692136,52.9859431282554,1.9027896300154,9.34272314014113,50.2232196664377,53.0124990394269,1.90145849375356,184628173.824143,-1567.12523511308,-1762.8047963898,-25.639891216337
4000,-1693.72113465955,-17921.1882169851,,-371.046854902791,8759.47843145635,-0.00526101729026651,224814.681428732,48.259602820056,48.4113157231822,6.03809845829417,410.622547448406,3.98370878041545,3.9850257029353,1.52068422829457,0.0030441609550599,0.661946252059795,0.66193135609793,1.09883335325412,1.11203102020193e-05,0.740586489094119,0,50.2403363175815,52.9863558970398,1.90218701848126,4.64010712194313,50.2232151030795,53.0125023558118,1.90146009366501,184628205.235763,-1566.97925907019,-1762.82340857307,-25.5878643568264
4500,-1693.72113757554,-17921.2699094818,,-371.046863651263,8759.47874826654,-0.00526111514084944,224814.682581134,48.259579384722,48.4113183451414,6.03809339152833,410.622547997298,3.98370884574876,3.98502578720001,1.52068391184699,0.00304416095314188,0.661946171161423,0.661931275129178,1.09883398107104,1.11203101877264e-05,0.740586636748764,0,50.2320556139292,52.9871347692094,1.90223889516957,3.7580168490028,50.2232111786088,53.0125039886551,1.90146056413072,184628211.913341,-1566.10580028751,-1762.89543959598,-25.5946329426596
5000,-1693.72113948355,-17921.7363009402,,-371.046876448446,8759.4789139941,-0.00526115612036871,224814.683259159,48.2595697831437,48.411322272555,6.03809017941783,410.622548295565,3.98370886953981,3.98502582218221,1.52068370558222,0.00304416095301544,0.661946124259062,0.661931228251483,1.09883433095667,1.1120310197477e-05,0.740586706640346,0,50.2313988012211,52.9956101400235,1.90216790686307,3.30762310336794,50.2232074571597,53.0125088432143,1.90146089318433,184628215.406469,-1566.05469240861,-1763.96168496683,-25.588518727458
