Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-778.393514853145,-5146.93334536836,,-61.8242880246536,,,39965.2378869633,62.2190072731918,62.9088222094123,10.6875027198952,182.494361651387,4.90424492856956,4.91162375121112,2.11142345227513,0.00639292794600628,0.50172913953228,0.501648680135089,0.834491945830508,4.67083151238612e-05,0.47586204572499,5.6883920758741e-15,62.2203618221425,69.3447373237183,3.64803567010994,3.74018615172647,62.105464745121,69.5606303666426,3.63855173394497,10940246.3362109,-1862.62511341958,-2305.07271484763,-50.7263123613082
1000,-778.393589732737,-5153.23689309607,,-61.8257673033391,,,39965.248304459,62.2181565400925,62.9096433097707,10.6871320414481,182.494373130053,4.90424945712988,4.91163112876168,2.11141536667465,0.00639292812987144,0.501734679266526,0.501654218583638,0.834505501309637,4.67083248247567e-05,0.475895300963925,-5.57215665233143e-15,62.1559976883488,69.5011448621685,3.64187378003439,0.672500571176069,62.1056633138113,69.5618504087144,3.63863119147225,10940259.512453,-1857.38687963991,-2321.0387036173,-50.3049084530023
1500,-778.393601704131,-5153.62207301079,,-61.8259787751053,,,39965.2500208684,62.2179939508104,62.9097269648647,10.6870942140713,182.494375778914,4.90425085263424,4.91163283111026,2.11141550093291,0.00639292806775418,0.501734043834144,0.50165358248353,0.834504394672781,4.67083240326402e-05,0.475894812129043,2.25623504777262e-14,62.128984762446,69.5092483739261,3.64041318436454,0.227743248685637,62.1057082635806,69.5619639266266,3.63864318075237,10940261.4505795,-1854.90460663936,-2321.82823870095,-50.1843121827219
2000,-778.393605204602,-5154.42496418298,,-61.8260322195618,,,39965.2505243002,62.2179551856134,62.9097666849626,10.6870748924363,182.494376357601,4.90425100147275,4.91163312037823,2.11141501191984,0.00639292806413609,0.501734064705925,0.501653603485779,0.834504532779409,4.67083240429345e-05,0.475895237248097,7.853821807975e-15,62.1254517906945,69.5305719898941,3.64031934678792,0.0744634452184192,62.10571332907,69.5620230709835,3.6386474432476,10940262.0994174,-1854.59872623775,-2324.31002576482,-50.1834503487766
2500,-778.393606388527,-5154.91045462851,,-61.8260644439522,,,39965.2506667432,62.2179286489345,62.9097797808042,10.6870649675428,182.494376544674,4.90425098935223,4.91163316530425,2.11141478737536,0.0063929280612827,0.501734064446787,0.501653603263735,0.834504551531883,4.67083240077605e-05,0.475895291318999,5.27526414604024e-14,62.1169738407636,69.5420372939955,3.63955705640436,0.0448827344008199,62.1057139764025,69.56204287557,3.63864941099138,10940262.2366133,-1853.72581599223,-2325.72166564333,-50.1149775705051
3000,-778.393606874798,-5155.15961086607,,-61.8260749618204,,,39965.2507284746,62.2179206207017,62.9097863548749,10.6870620298729,182.494376602982,4.90425103333222,4.9116332287674,2.11141474406582,0.006392928062331,0.501734061604261,0.50165360044948,0.834504562334159,4.6708324052148e-05,0.475895336260471,4.53877863592406e-13,62.1133645528293,69.5482757453349,3.6394836915133,0.0214421909286193,62.1057151324058,69.562052682868,3.63865020993236,10940262.3306292,-1853.33860496714,-2326.50802796185,-50.1097523720967
3500,-778.3936071019,-5155.18772177531,,-61.8260810854188,,,39965.2507522956,62.2179180107405,62.9097886087824,10.6870606073522,182.49437662579,4.90425104708752,4.91163325018289,2.11141470942249,0.00639292806259611,0.50173405784723,0.501653596708631,0.834504560599637,4.67083240640317e-05,0.475895345215086,-2.09684683892056e-13,62.113003100965,69.5491571419489,3.63939634472011,0.0133395513470537,62.1057154283403,69.562055957992,3.63865052251517,10940262.3636732,-1853.30494729617,-2326.60995742662,-50.1019436225824
4000,-778.393607221679,-5155.21537198817,,-61.8260853621216,,,39965.2507654981,62.2179149143674,62.9097896286841,10.6870593147723,182.49437663965,4.90425105204914,4.91163326159544,2.11141469252845,0.0063929280626083,0.501734052430291,0.501653591260135,0.834504550749001,4.67083240644141e-05,0.475895338634499,-4.35398241113511e-15,62.1109291887814,69.5497461605174,3.63909435707072,0.00894296758684754,62.1057159192054,69.5620573130008,3.6386508275076,10940262.3816265,-1853.0693822699,-2326.68160510023,-50.0712042067228
4500,-778.393607288443,-5155.40806516486,,-61.8260863189385,,,39965.2507717617,62.2179139777278,62.9097909941913,10.6870588365574,182.494376644016,4.90425105724514,4.91163326880848,2.11141468603075,0.00639292806270703,0.501734049792678,0.50165358863101,0.834504548842485,4.67083240657199e-05,0.475895336756233,-4.31207256674609e-15,62.1107647902573,69.5547480823605,3.63905735756773,0.00668507952696729,62.1057158295639,69.56205942627,3.63865094183069,10940262.3907574,-1853.05403805576,-2327.36255241376,-50.0680775160897
5000,-778.393607327934,-5155.41794732588,,-61.8260869200768,,,39965.2507760921,62.2179128278073,62.9097914711455,10.6870585128541,182.494376647989,4.90425105765063,4.91163327141994,2.11141467895685,0.0063929280627176,0.501734050951413,0.501653589788269,0.834504552971624,4.67083240661349e-05,0.475895345187433,-1.17457425222443e-14,62.1096050590785,69.5550575977202,3.63902680912119,0.00376551606950537,62.105716305623,69.5620600868337,3.63865101556814,10940262.4013408,-1852.9181916098,-2327.39888789115,-50.0652501727752
5500,-778.393607351926,-5155.52170014555,,-61.8260876687308,,,39965.2507788791,62.2179124343388,62.90979188886,10.6870581738581,182.494376651597,4.90425105928881,4.91163327409163,2.11141467565757,0.00639292806267273,0.501734050580375,0.501653589444613,0.834504552792729,4.67083240659959e-05,0.475895345423417,1.46239332581167e-13,62.1095152098796,69.557580298541,3.63886220838211,0.00234762684839807,62.1057164432387,69.5620607164608,3.63865109896022,10940262.4066652,-1852.90905632824,-2327.7684051018,-50.0470047671696
