Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-6618.35557965939,-517224.574876373,,-5885.1514638809,,,5395573.87934529,62.7423037040927,62.7656439709156,10.6799833119451,1642.49492792384,4.90855167622876,4.90871550415413,2.11076524918438,0.00091324480155858,0.501744009158217,0.5017422085848,0.834599889974198,1.11202139362982e-06,0.475826588768261,1409822271.02315,67.5947616482802,68.3231522205126,3.65151535366302,1410463227.15636,67.5746584524054,68.6793244720655,3.63173400233876,-143392945102.719,-2185.6266121848,-2241.73597858835,-51.1093948544142
1000,-6618.35636340239,-517234.87090971,,-5885.16741586018,,,5395578.98037837,62.7444607143053,62.7684314525593,10.6774299370907,1642.49505886772,4.9085774381838,4.90874145005968,2.1106411128202,0.00091324478198432,0.501783857701965,0.501782057124549,0.834689111558889,1.11202143196368e-06,0.476014267478415,1409982387.13988,67.6379559722251,68.541832882244,3.64002291406885,1410464837.80471,67.5772492263625,68.6830305248744,3.63230022141374,-143419027868.603,-2188.88705859158,-2262.21716245455,-50.4778956761256
1500,-6618.35647904836,-517329.570858676,,-5885.1708871201,,,5395579.9057853,62.7448557001416,62.7689205124839,10.6771465927086,1642.49507879106,4.90858188329864,4.90874592788123,2.11062411172553,0.000913244775879955,0.501789885043127,0.50178808451202,0.834702266700513,1.11202141115496e-06,0.47604693065117,1410281492.82665,67.6473596617618,68.5819831746769,3.63845300135883,1410465135.26178,67.5777156197048,68.6836641976394,3.63235827400039,-143477932900.296,-2189.62191583996,-2266.14593507102,-50.3811267644334
2000,-6618.3565170702,-517325.095374047,,-5885.17170106167,,,5395580.15590208,62.7446658821974,62.7691085320907,10.6770037180429,1642.49508511727,4.90858343844282,4.90874764425522,2.110619406241,0.000913244773871357,0.501789375689653,0.501787575160935,0.834702592242421,1.11202140329086e-06,0.476048768352115,1410291771.43692,67.6176080583159,68.6225837528867,3.63560713797612,1410465213.58217,67.5779258273113,68.6839315637527,3.63238841882043,-143479511529.363,-2187.03232846468,-2270.44707453919,-50.1720096401075
2500,-6618.35653023249,-517345.047366606,,-5885.17216006729,,,5395580.29543827,62.7446756156864,62.769167953272,10.6769438570953,1642.49508742553,4.9085836667465,4.90874791163842,2.1106167577362,0.000913244773367513,0.501789617271768,0.501787816746081,0.834703377533751,1.11202140230364e-06,0.476051260994338,1410359850.85135,67.618102209432,68.6476311315561,3.63406997551213,1410465258.49412,67.5779903402093,68.6840139174203,3.63240134387163,-143493517052.531,-2187.09142516873,-2273.32621158433,-50.0465931823158
3000,-6618.35653528091,-517347.686906132,,-5885.17234115749,,,5395580.33836359,62.7445487391336,62.7691939100975,10.676924256975,1642.49508832842,4.90858383943825,4.90874813424194,2.11061580396875,0.00091324477327833,0.501789548505638,0.501787747955701,0.834703241268456,1.11202140213539e-06,0.476051227674199,1410368698.19465,67.5938510934458,68.6509705531561,3.63424012008398,1410465272.11215,67.5780328691646,68.6840519710232,3.63240564348009,-143495296883.97,-2184.81686457699,-2273.64942338463,-50.0667424155642
3500,-6618.35653749886,-517347.524489369,,-5885.17242274678,,,5395580.36020899,62.7445512960796,62.7692104146075,10.6769128515473,1642.4950887753,4.90858402876855,4.90874832814911,2.11061553161381,0.000913244773176834,0.501789539960616,0.501787739422001,0.834703293521001,1.11202140187731e-06,0.476051479856193,1410370721.4961,67.5933193985527,68.6579109286529,3.63396658401158,1410465279.0341,67.5780535732932,68.6840746625923,3.6324085139472,-143495645003.382,-2184.77249871716,-2274.45810366638,-50.0464500137118
4000,-6618.35653860019,-517363.988621057,,-5885.17249580609,,,5395580.38177704,62.7445442946461,62.7692199860854,10.6769045372635,1642.49508896199,4.90858407845516,4.908748385269,2.11061529530274,0.00091324477317077,0.501789569568327,0.501787769020304,0.834703405214487,1.1120214019553e-06,0.476051700115209,1410420355.25382,67.5874827431641,68.6703435164424,3.63311374740524,1410465286.15414,67.5780644530868,68.6840887485396,3.63241007379632,-143506444732.462,-2184.1429926935,-2276.04827990768,-49.966279855194
4500,-6618.35653920186,-517363.769756119,,-5885.17250772883,,,5395580.38814078,62.7445450435578,62.7692237553175,10.6769018205264,1642.49508907241,4.9085841546826,4.908748462079,2.11061523320963,0.000913244773151339,0.501789550668208,0.501787750128025,0.834703379337268,1.11202140195254e-06,0.476051708922299,1410422745.8173,67.5872991656376,68.6714159481173,3.63304970461888,1410465288.18693,67.5780674620638,68.684093598852,3.63241083574437,-143506896347.864,-2184.12614800849,-2276.17926572305,-49.9615152627898
5000,-6618.35653955465,-517371.033052714,,-5885.17252307864,,,5395580.39297027,62.7445439463886,62.7692260379302,10.6769003358847,1642.49508914636,4.90858417728526,4.9087484859296,2.11061519680045,0.000913244773119651,0.501789552947061,0.501787752404441,0.834703388740638,1.1120214018363e-06,0.476051783832866,1410443939.30426,67.5865440543541,68.6724360698458,3.63301131180842,1410465289.75899,67.5780704356886,68.6840967423542,3.63241123280631,-143511738379.284,-2184.04698292801,-2276.29823116402,-49.9583765846639
