Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-6667.80331167552,-531907.072407546,,-3.22525994385375,,,5472382.62340209,48.3731961480868,48.3907748853003,6.04352805882329,1654.14564582815,3.98462456005966,3.98474990423703,1.52121380015221,0.000906812407111258,0.661758594985262,0.661757133932071,1.09773048045933,1.09641153778218e-06,0.739127898247921,1439499486.52773,51.8942203272086,52.4347248938649,1.9178222919207,1440688921.73007,51.9312397651317,52.7741306347958,1.90077394910006,-146497492765.493,-1676.4740401706,-1718.05735059805,-26.4223180577283
1000,-6667.8068881252,-531919.656474256,,-3.21707038901551,,,5472392.18583458,48.3702722636729,48.3883441096611,6.03908952994603,1654.14593777663,3.98454392575789,3.98466946880542,1.52075191565102,0.000906812371120046,0.661939696700173,0.661938235591269,1.09861447974453,1.09641169740111e-06,0.740369165176138,1439680456.55212,51.9458402170484,52.5862750872512,1.91179588677509,1440691952.74717,51.9258007073451,52.7695155720777,1.9008027254396,-146524436579.307,-1680.53654484901,-1731.65302281093,-26.1953538482345
1500,-6667.80762654936,-532045.397761199,,-3.21638957038557,,,5472395.79383381,48.3698914208193,48.3880420114317,6.03791540598082,1654.1460481691,3.98452239564227,3.98464798480356,1.52065925756524,0.000906812317280686,0.661962383477196,0.661960922476822,1.09878661227242,1.09641149872546e-06,0.740560364817057,1440127005.71397,51.9639985493746,52.6098259762167,1.90498110269162,1440693101.73415,51.9248578373936,52.7687277720401,1.90087328168836,-146607831899.964,-1681.93228396266,-1733.44636511361,-25.7948177193942
2000,-6667.8079449525,-532079.940752899,,-3.21628653216902,,,5472397.41533141,48.3698348179727,48.3881404379749,6.03771589462826,1654.14609659599,3.98454223163648,3.98466786202678,1.52065658240316,0.000906812300761787,0.661942705095614,0.661941244045545,1.09879443664952,1.09641144169266e-06,0.740546067715483,1440229790.84449,51.9723212462109,52.6874898117174,1.90514106860913,1440693618.53951,51.9244962708381,52.7686240752483,1.90088459743955,-146626209559.18,-1682.59729599051,-1741.44482934916,-25.8187970347038
2500,-6667.80808341445,-532138.151050042,,-3.21607853919765,,,5472398.22001212,48.3697629185616,48.388118693773,6.03750106248726,1654.14611593579,3.98453971884941,3.98466535883345,1.5206399729275,0.000906812298034438,0.661944070121882,0.661942609079795,1.09882010323763,1.09641143863115e-06,0.740566593337074,1440429613.88102,51.9775055215391,52.6997242989953,1.90320402141073,1440693877.3168,51.9243117108717,52.7685210563295,1.90089746619382,-146665223823.498,-1683.03736202236,-1742.44924725501,-25.684980413794
3000,-6667.80814966927,-532139.582890531,,-3.21608186893702,,,5472398.46819819,48.3694023653407,48.388071662524,6.03741299702946,1654.14612395633,3.98453978402235,3.98466557129656,1.52063290527091,0.000906812297094145,0.661943677749573,0.661942216720604,1.09883231423984,1.09641143800625e-06,0.74057628700281,1440438132.18137,51.9425161268838,52.6989603586571,1.90352265127115,1440693954.68056,51.924247300101,52.7684178905282,1.90090578265761,-146666787036.463,-1679.97207461667,-1742.32018706484,-25.7182600487845
3500,-6667.80818496219,-532184.533661931,,-3.21616219377744,,,5472398.68070502,48.3693775181534,48.388081898215,6.03735331944019,1654.14612844608,3.98453932219477,3.98466511781536,1.52062860971223,0.000906812296653353,0.661943455752579,0.661941994708529,1.09883858538202,1.09641143623453e-06,0.74058106596121,1440565551.91456,51.9471186078059,52.7300093796989,1.90308361403807,1440694023.24717,51.9241870918915,52.7684170848722,1.9009087258241,-146693181088.734,-1680.41146252091,-1745.76822877779,-25.6897718151714
4000,-6667.80820572193,-532184.956427366,,-3.21616077038573,,,5472398.78070014,48.3693543684958,48.3880656699083,6.0373186605656,1654.14613136914,3.98453879450044,3.98466459552561,1.52062576304934,0.00090681229653248,0.661943516061785,0.66194205501895,1.0988440538462,1.09641143800829e-06,0.740584129220131,1440570407.84498,51.948423961357,52.7342340987501,1.90259550325505,1440694054.87326,51.9241412454688,52.7683800320308,1.90090885463295,-146693941217.416,-1680.53208610943,-1746.21426074385,-25.653313381838
4500,-6667.80821890696,-532186.175519629,,-3.2161599179965,,,5472398.86604797,48.369331930387,48.3880533889892,6.03730052486303,1654.14613309868,3.98453890530827,3.98466471458238,1.52062430542474,0.000906812296195246,0.661943052438493,0.661941591398624,1.09884605559116,1.09641143614182e-06,0.740584534330436,1440587866.76557,51.9482263570076,52.7341147250034,1.90264240325848,1440694082.29838,51.9241206180468,52.7683532673637,1.9009114907859,-146697249659.908,-1680.52058933605,-1746.19698098545,-25.658686005212
5000,-6667.8082272515,-532186.008074596,,-3.21614706204329,,,5472398.9171044,48.3693251953715,48.3880587996498,6.03728195742467,1654.14613445688,3.98453887275482,3.98466468785777,1.52062339717471,0.000906812295893796,0.661942833378895,0.661941372347112,1.098847124676,1.09641143511877e-06,0.740584617677693,1440590403.66937,51.9488324580756,52.7397490077342,1.90223250722887,1440694098.47466,51.9241117191747,52.7683570293887,1.90091325364078,-146697690739.382,-1680.57862092477,-1746.78646018309,-25.6270429571281
