Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-783.573265699131,-5213.20636168555,,-3.5648580771376,,,40534.2714708973,62.2283008234901,62.9117755861549,10.6880828856953,183.788973803745,4.9044545951023,4.91176811625122,2.11148272002177,0.00634789546975661,0.501710009178728,0.501629874945064,0.834461495017382,4.60525914815733e-05,0.475820216612447,1.10773824516099e-14,62.2394953781778,69.36253180406,3.64978566944927,3.44408624371414,62.1521689082881,69.5608170555413,3.63881197228774,11174730.2309577,-1862.77018082671,-2306.73733514669,-50.8323582546771
1000,-783.573343180291,-5218.3167775175,,-3.56619646859135,,,40534.2823039644,62.2278117385463,62.9125098383404,10.6876952192185,183.788986909617,4.90445731951046,4.91177290638614,2.11147239592777,0.00634789558360517,0.501717529257321,0.501637393576422,0.834478669451427,4.60525995325262e-05,0.475861784146518,8.78800578072664e-14,62.1917720229431,69.4902380869898,3.64393726032584,0.665541094076135,62.1523227104373,69.5619015290802,3.6388917595673,11174742.6114872,-1858.74305804181,-2319.69931668417,-50.4488234015021
1500,-783.573354920707,-5219.58027487633,,-3.56636546910772,,,40534.2835945836,62.2277202462911,62.9126092132811,10.6876278226068,183.788988562352,4.90445842112903,4.91177433744611,2.11147209872762,0.00634789556026593,0.501717389446174,0.501637253932397,0.834478751515731,4.60525994397017e-05,0.475863134332945,2.48183522894626e-13,62.1841641505671,69.5212238880644,3.64125093012023,0.243844464022041,62.1523412180265,69.5620432721419,3.63890809751808,11174744.344803,-1858.10229623255,-2323.20689489299,-50.2417002447742
2000,-783.573358527822,-5220.02379605473,,-3.56643379391398,,,40534.2840753893,62.2276624149075,62.9126498901525,10.6876105929955,183.788989047515,4.90445853986634,4.91177463726762,2.1114715858991,0.00634789556056733,0.5017174802213,0.501637344492955,0.834479051017245,4.60525995223732e-05,0.475863769874449,5.19890839169702e-13,62.1733375518554,69.5333397754028,3.6410407799577,0.0999090262117868,62.1523515418673,69.5621032764567,3.63891216248166,11174744.9577154,-1857.07571066862,-2324.55615439226,-50.2281243900007
2500,-783.573359726222,-5220.19073629051,,-3.56645156733067,,,40534.284209832,62.2276332911394,62.9126612023315,10.6875978881796,183.788989166654,4.90445861686125,4.91177476993451,2.11147147305772,0.00634789556384445,0.501717414180319,0.501637278255775,0.834478951325841,4.60525996296682e-05,0.475863687877103,2.45198944722886e-14,62.1657933671285,69.5372141259915,3.64000499609428,0.0486649256128739,62.152355492169,69.5621197824059,3.6389139381678,11174745.1636859,-1856.32172923243,-2324.99877556517,-50.1377937049594
3000,-783.573360235513,-5220.63717207577,,-3.56645958928362,,,40534.2842730251,62.2276225566369,62.9126694031425,10.6875943351704,183.788989236835,4.90445865131797,4.91177482443035,2.1114714248383,0.00634789556439388,0.501717400238399,0.501637264352163,0.834478930650465,4.60525996633155e-05,0.475863707288183,-3.93506004196542e-14,62.1612711313447,69.5480993687488,3.63962666867745,0.0237373214113692,62.152358447645,69.5621320269116,3.63891489639447,11174745.2624229,-1855.84444704142,-2326.37872022728,-50.1021904085786
3500,-783.573360470669,-5220.78980682366,,-3.56646488347451,,,40534.2843011363,62.227619064619,62.9126721542312,10.6875926136598,183.788989264051,4.90445866721621,4.91177485021122,2.11147139490672,0.00634789556441725,0.501717400383305,0.501637264398365,0.834478939573574,4.60525996664294e-05,0.475863730268895,-9.22870555959396e-15,62.1590805397127,69.551848722554,3.63954405858613,0.0130505443701079,62.1523583999166,69.562136052208,3.63891528007543,11174745.3052282,-1855.60043051573,-2326.87657061075,-50.0952791405776
4000,-783.573360594146,-5220.8071188107,,-3.56646774981617,,,40534.2843147789,62.2276174519603,62.9126734551804,10.6875918565544,183.788989279506,4.90445868410888,4.91177487266188,2.11147139274026,0.00634789556438458,0.501717390994829,0.501637255035742,0.834478926395609,4.60525996682821e-05,0.475863713788509,5.70282831671089e-14,62.1585336525293,69.5524758642789,3.63946741218679,0.00865191152844247,62.1523588382553,69.5621378802396,3.6389155527514,11174745.3232864,-1855.54210418325,-2326.95118459223,-50.0880361831261
4500,-783.573360660275,-5220.93894515193,,-3.56647012137815,,,40534.2843217286,62.2276159596673,62.912674539228,10.6875912501977,183.788989285534,4.90445868539586,4.91177487721161,2.11147138273266,0.00634789556453505,0.501717388675914,0.501637252718936,0.834478924166431,4.60525996726047e-05,0.475863709056766,-4.39338284212536e-14,62.1582385275863,69.5560844429536,3.63920240886378,0.00600227188344693,62.1523587008521,69.5621395469445,3.63891569573051,11174745.3338354,-1855.51355149491,-2327.44483252897,-50.0593556818826
5000,-783.573360699679,-5220.95344570377,,-3.56647130157735,,,40534.2843267353,62.2276143368221,62.912674917265,10.6875908513784,183.788989291459,4.90445868584906,4.91177487986882,2.11147137692162,0.00634789556450079,0.501717389508074,0.501637253511139,0.834478927687689,4.6052599673055e-05,0.475863720129399,-4.07981237112986e-14,62.1559303978756,69.5562124018245,3.63915501637911,0.00365190226600109,62.1523590162549,69.5621401273853,3.63891574715395,11174745.3427871,-1855.23741022712,-2327.45959664338,-50.0550574802221
