Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-1698.93237973063,-18142.2818072193,,-3.28395371500387,8822.05622787238,-0.00497401117944794,228015.532314729,90.3550573354413,90.6379264456683,27.868632132807,413.535393504783,6.68613895202415,6.68860284993868,4.06375981603765,0.00302271841039689,0.226494222091671,0.226469193902768,0.33480643324638,1.09642020692727e-05,0.0689026821837963,0,94.6245193658665,99.7600296220919,10.2559062228212,3.94254666196784,94.5969215644943,99.8147201264752,10.2516976582621,188585226.323713,-2949.39927030165,-3315.7682366056,-144.136083098937
1000,-1698.9323814598,-18143.2962441238,,-3.28397867311156,8822.05722706689,-0.00497418188871078,228015.53351152,90.3550160062358,90.6379556925475,27.8685930757957,413.535394058391,6.6861390312865,6.68860297516908,4.06375929637373,0.00302271840817346,0.226494225945601,0.226469197667937,0.334806447933827,1.0964202055466e-05,0.0689026900356658,0,94.6099450783335,99.7981410291466,10.2538037377121,0.735564695286669,94.5969293753759,99.8147635493595,10.251701697478,188585247.683056,-2947.9023591351,-3320.53175074667,-143.956117295721
1500,-1698.93238160244,-18143.4725974484,,-3.28398563763471,8822.05739968502,-0.00497421484355181,228015.533595662,90.3550082428875,90.6379593220342,27.8685876107589,413.535394080044,6.68613903266547,6.68860298620434,4.06375920670249,0.00302271840834362,0.226494226096918,0.226469197765992,0.33480645783867,1.09642020591974e-05,0.0689026903571955,0,94.6044454082978,99.8046010473424,10.2528618009695,0.16252029696345,94.5969299569515,99.81476910129,10.2517020191188,188585251.373038,-2947.28769745821,-3321.38062436573,-143.862803834476
2000,-1698.93238162829,-18143.6616559695,,-3.28398427542811,8822.05740983176,-0.00497422192386803,228015.533612124,90.3550051610988,90.6379604315588,27.8685862422926,413.535394085044,6.68613903527098,6.68860298953634,4.06375919271134,0.00302271840834353,0.22649422609723,0.226469197799849,0.33480645874866,1.09642020593318e-05,0.0689026904452101,0,94.6002379703073,99.8108273331506,10.2525044598421,0.130767084283644,94.5969304551025,99.8147707769658,10.2517021008414,188585251.589941,-2946.77891388571,-3322.29475312975,-143.825659286783
2500,-1698.93238163529,-18143.6659180632,,-3.28398435369578,8822.05742990452,-0.00497422498583115,228015.533616135,90.3550047700252,90.6379607822591,27.8685854849796,413.535394085662,6.68613903530432,6.68860299026655,4.06375919022203,0.00302271840834936,0.226494226094947,0.226469197793167,0.334806458596687,1.09642020593901e-05,0.0689026904412405,0,94.5996086492545,99.8117784209023,10.2520055227618,0.0631815576137615,94.5969303511106,99.8147713321662,10.2517021765001,188585252.019027,-2946.69747294197,-3322.41812666683,-143.769023640545
3000,-1698.93238163733,-18143.6657746004,,-3.28398451524506,8822.05744454516,-0.00497422504123334,228015.53361739,90.3550045161334,90.6379608558778,27.8685853939707,413.53539408584,6.68613903519112,6.68860299041018,4.06375918931977,0.00302271840835191,0.226494226105385,0.226469197801986,0.334806458658027,1.09642020594219e-05,0.0689026904495394,0,94.5992984196944,99.8118401799489,10.25199880116,0.0135954722776823,94.596930503456,99.8147714171054,10.2517021872342,188585252.331994,-2946.65939193651,-3322.42608434304,-143.768483350421
3500,-1698.93238163808,-18143.6994219422,,-3.28398447514724,8822.05744502428,-0.00497422550297425,228015.533617814,90.3550044627563,90.6379609190219,27.8685853419485,413.535394085902,6.68613903520387,6.68860299047279,4.06375918888287,0.00302271840835194,0.226494226107498,0.226469197804524,0.334806458682832,1.09642020594152e-05,0.0689026904540698,0,94.5992829691372,99.8131309859673,10.2519247537212,0.0120395236561066,94.5969304714651,99.814771525747,10.2517021930818,188585252.342236,-2946.65793429019,-3322.63113718595,-143.7592649243
4000,-1698.93238163842,-18143.7029589831,,-3.28398449284358,8822.05744581088,-0.00497422557493661,228015.533618077,90.3550042619695,90.6379609275263,27.8685853144372,413.535394085968,6.68613903520578,6.68860299050528,4.06375918864546,0.0030227184083518,0.226494226107126,0.226469197804054,0.334806458712235,1.09642020594141e-05,0.0689026904546054,0,94.5980275554996,99.8131394277692,10.2519233288576,0.00940903851465436,94.5969305215159,99.8147715329839,10.2517021946639,188585252.35905,-2946.48645407802,-3322.63214797994,-143.759267624208
4500,-1698.93238163861,-18143.7061446779,,-3.28398449678739,8822.05744585749,-0.00497422579613029,228015.533618221,90.3550042444309,90.6379609390683,27.8685852953712,413.535394085986,6.68613903519027,6.68860299050533,4.0637591885704,0.00302271840835191,0.226494226107186,0.226469197804316,0.33480645871335,1.0964202059414e-05,0.0689026904542695,0,94.5980204913705,99.8133609456065,10.2518998351227,0.00927586119289714,94.5969305047042,99.8147715540248,10.2517021985684,188585252.360047,-2946.48577983878,-3322.6662686615,-143.756456453996
5000,-1698.93238163871,-18143.7061954079,,-3.28398449522768,8822.05744630284,-0.0049742257067084,228015.533618294,90.3550042390365,90.6379609435641,27.8685852862155,413.535394085998,6.68613903519015,6.68860299051498,4.06375918852679,0.00302271840835197,0.226494226107457,0.226469197804512,0.334806458715971,1.09642020594154e-05,0.06890269045464,0,94.598019585768,99.8133955172233,10.251902589748,0.00777379526873823,94.5969305179462,99.8147715590374,10.2517021988083,188585252.369567,-2946.48568051813,-3322.67190702662,-143.756859185892
