basis size,Energy,delta(r_1),drach_delta(r_1),delta(r_12),drach_delta(r_12),MV,drach_MV,r_1,r_12,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r^2_1,r^2_12,SO1,SO2
250,-24.52020968724824,13.98901050369024,14.10992388198765,0.3468938200773938,0.3432783778227421,-674.5264897600678,-679.5929010065938,1.353780323884301,2.274882033673994,18.45171335243115,1.71919783978136,2.266359551021082,0.7618216295106572,3.146956815252281,6.893567479407247,1.040635688689711,-0.6638002335416096
500,-24.52068287700514,14.07327752339564,14.11162278985884,0.3449588065281758,0.3433367191455352,-678.0782077290423,-679.675701859735,1.35461204396467,2.276528768352883,18.45362931107639,1.718734254161441,2.266342952209285,0.7617105759327802,3.154715730811786,6.909325346918317,1.0425124825343073,-0.664063092261283
1000,-24.5207951417885,14.09444351116541,14.11198225911942,0.3441140467672928,0.3433561870550756,-678.8118828997337,-679.684975430043,1.354831349756234,2.276965976531834,18.45403680834343,1.718588646677694,2.266334425977929,0.7616757166078618,3.156775455387793,6.913496181922239,1.042870491372932,-0.6640667951850194
2000,-24.52082165320745,14.1049180788707,14.11206475583264,0.3437037233524941,0.343361507825495,-679.234898910498,-679.670905350936,1.354878065720393,2.277060934028347,18.45413446490965,1.718550687244529,2.266333026308417,0.7616681562559667,3.157223699765319,6.914403039777416,1.0430011640496728,-0.6640572553374188
3000,-24.52082535983983,14.10595254908872,14.11207749200608,0.3435456605586555,0.3433624806388209,-679.2635688162734,-679.6623127959161,1.354885130634509,2.27707526363748,18.45414972777941,1.718543703773602,2.266332831692076,0.7616669999766772,3.157294480502413,6.914543475029698,1.0430232787809597,-0.664055779619589
4000,-24.52082643067995,14.10961265283711,14.11208248672373,0.343468027478234,0.3433628221588935,-679.4228995865087,-679.6681003506212,1.354887301886577,2.277079671132644,18.45415532612015,1.718541633459341,2.266332764717923,0.761666652623911,3.15731687925837,6.914587421552509,1.043027570072604,-0.6640565100414045
5000,-24.5208268468383,14.11005004761395,14.11208445549821,0.3434614407412163,0.343362924898036,-679.4336477341383,-679.671454447992,1.354888063870014,2.277081235203803,18.45415765094574,1.718540960163421,2.266332755545521,0.7616665361583279,3.157324922656184,6.914603254618153,1.0430314541465608,-0.6640577461970399
6000,-24.52082704706742,14.11010440625404,14.11208508247788,0.343427921386567,0.3433630128271271,-679.4340675185929,-679.6738775459196,1.354888421657291,2.277081960726828,18.45415845510179,1.718540509778987,2.266332751502252,0.761666480256477,3.157328577120487,6.914610266353566,1.0430335950086658,-0.6640567419216596
7000,-24.52082714982356,14.11017875270904,14.1120856579245,0.3434261051751987,0.3433630452735434,-679.4266686443123,-679.6744248948307,1.354888650542272,2.277082402054937,18.45415910139144,1.718540325753336,2.266332743107048,0.7616664445999586,3.157331003031111,6.914614781450396,1.0430346997620226,-0.6640561872145573
8000,-24.52082721134272,14.11055808271912,14.11208598578135,0.343422130371409,0.343363070044535,-679.4425284796771,-679.6747555893292,1.354888761947317,2.27708262803867,18.45415947076178,1.718540193444084,2.266332740663255,0.7616664257245156,3.157332165344767,6.914617034287376,1.0430350454958868,-0.6640559213010052
9000,-24.5208272539631,14.11059497724128,14.11208616035075,0.343418821469967,0.3433630892192421,-679.44380821851,-679.6743184382708,1.354888834329259,2.277082773279677,18.45415967454663,1.71854011344481,2.26633274001263,0.7616664144700144,3.157332916667856,6.914618451447767,1.0430351489823542,-0.6640557450057204
10000,-24.52082728278154,14.11108049446984,14.11208637658889,0.3434176521091005,0.3433630974110817,-679.4629216972608,-679.6743401033383,1.354888837390603,2.277082738577646,18.45415990063571,1.71854007826672,2.266332747035966,0.7616664194370406,3.157333090183688,6.914618275025383,1.0430355390232782,-0.66405480793485
