basis size,Energy,MV,drach_MV,Darwin,drach_Darwin,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12)
250,-0.2452020968724824E+02,-0.3617886855029380E-01,-0.3617886855029380E-01,0.2893204711301054E-01,0.2893204711301054E-01,0.1410992388198765E+02,0.3432783778227421E+00,0.1410992388198765E+02,0.3432783778227421E+00
500,-0.2452068287700514E+02,-0.3618341882021844E-01,-0.3618341882021844E-01,0.2893550222647958E-01,0.2893550222647958E-01,0.1411162278985884E+02,0.3433367191455352E+00,0.1411162278985884E+02,0.3433367191455352E+00
1000,-0.2452079514178850E+02,-0.3618404538615941E-01,-0.3618404538615941E-01,0.2893622137124337E-01,0.2893622137124337E-01,0.1411198225911942E+02,0.3433561870550756E+00,0.1411198225911942E+02,0.3433561870550756E+00
2000,-0.2452082165320745E+02,-0.3618402619026638E-01,-0.3618402619026638E-01,0.2893638498504087E-01,0.2893638498504087E-01,0.1411206475583264E+02,0.3433615078254950E+00,0.1411206475583264E+02,0.3433615078254950E+00
3000,-0.2452082535983983E+02,-0.3618394040330211E-01,-0.3618394040330211E-01,0.2893640999116706E-01,0.2893640999116706E-01,0.1411207749200608E+02,0.3433624806388209E+00,0.1411207749200608E+02,0.3433624806388209E+00
4000,-0.2452082643067995E+02,-0.3618389492481891E-01,-0.3618389492481891E-01,0.2893641986465774E-01,0.2893641986465774E-01,0.1411208248672373E+02,0.3433628221588935E+00,0.1411208248672373E+02,0.3433628221588935E+00
5000,-0.2452082684683830E+02,-0.3618390132254771E-01,-0.3618390132254771E-01,0.2893642380984192E-01,0.2893642380984192E-01,0.1411208445549821E+02,0.3433629248980360E+00,0.1411208445549821E+02,0.3433629248980360E+00
6000,-0.2452082704706742E+02,-0.3618387298309715E-01,-0.3618387298309715E-01,0.2893642497386062E-01,0.2893642497386062E-01,0.1411208508247788E+02,0.3433630128271271E+00,0.1411208508247788E+02,0.3433630128271271E+00
7000,-0.2452082714982356E+02,-0.3618387430316604E-01,-0.3618387430316604E-01,0.2893642612296280E-01,0.2893642612296280E-01,0.1411208565792450E+02,0.3433630452735434E+00,0.1411208565792450E+02,0.3433630452735434E+00
8000,-0.2452082721134272E+02,-0.3618387347297317E-01,-0.3618387347297317E-01,0.2893642676712738E-01,0.2893642676712738E-01,0.1411208598578135E+02,0.3433630700445350E+00,0.1411208598578135E+02,0.3433630700445350E+00
9000,-0.2452082725396310E+02,-0.3618387167120934E-01,-0.3618387167120934E-01,0.2893642710009979E-01,0.2893642710009979E-01,0.1411208616035075E+02,0.3433630892192421E+00,0.1411208616035075E+02,0.3433630892192421E+00
10000,-0.2452082728278154E+02,-0.3618387172514778E-01,-0.3618387172514778E-01,0.2893642753859709E-01,0.2893642753859709E-01,0.1411208637658889E+02,0.3433630974110817E+00,0.1411208637658889E+02,0.3433630974110817E+00
11000,-0.2452082729958109E+02,-0.3618387189630723E-01,-0.3618387189630723E-01,0.2893642764851144E-01,0.2893642764851144E-01,0.1411208643346754E+02,0.3433631027982540E+00,0.1411208643346754E+02,0.3433631027982540E+00
12000,-0.2452082731271696E+02,-0.3618385820371751E-01,-0.3618385820371751E-01,0.2893642776802306E-01,0.2893642776802306E-01,0.1411208649818055E+02,0.3433631122590265E+00,0.1411208649818055E+02,0.3433631122590265E+00
13000,-0.2452082732322395E+02,-0.3618385808990594E-01,-0.3618385808990594E-01,0.2893642790802708E-01,0.2893642790802708E-01,0.1411208656871582E+02,0.3433631167482254E+00,0.1411208656871582E+02,0.3433631167482254E+00
14000,-0.2452082733211473E+02,-0.3618385793993582E-01,-0.3618385793993582E-01,0.2893642797321060E-01,0.2893642797321060E-01,0.1411208660197682E+02,0.3433631193638249E+00,0.1411208660197682E+02,0.3433631193638249E+00
