system        expectation_value  ref_value                      uncertainty                    source        
infBe_3De-01  Energy             -1.438463462944240056629e+01   3.742904652881410254830e-09    our_calc_16200
infBe_3De-01  MV                 -2.681147775204549930095e+02   1.368942779436000008447e-04    our_calc_16200
infBe_3De-01  drach_MV           -2.681262296596079863775e+02   7.104411110958610027087e-06    our_calc_16200
infBe_3De-01  OO                 -9.055113254794989741114e-01   5.682998294176400122524e-08    our_calc_16200
infBe_3De-01  SO1                1.080151020236909918670e-02    5.857565492893570300458e-08    our_calc_16200
infBe_3De-01  SO2                -1.029080468140909990216e-02   6.510909241093380624175e-08    our_calc_16200
infBe_3De-01  1/r^2_1            1.424567758371079939650e+01    2.668150500539920108912e-08    our_calc_16200
infBe_3De-01  1/r^2_12           1.490167605601250055969e+00    9.895755104238899712992e-09    our_calc_16200
infBe_3De-01  1/r_1              2.023551167532180006248e+00    1.046012165772940122655e-09    our_calc_16200
infBe_3De-01  1/r_12             6.012582370857869618064e-01    8.557189401514619930822e-10    our_calc_16200
infBe_3De-01  r_1                3.146161977495309791664e+00    2.141899324570320046937e-08    our_calc_16200
infBe_3De-01  r_12               5.709873284636960200089e+00    2.680164268298309912842e-08    our_calc_16200
infBe_3De-01  r^2_1              2.756209483191129905322e+01    5.993622309574679690389e-07    our_calc_16200
infBe_3De-01  r^2_12             5.592179823227309753975e+01    1.295048633664920026897e-06    our_calc_16200
infBe_3De-01  delta(r_1)         8.770355583472509763965e+00    1.387731823498940051515e-05    our_calc_16200
infBe_3De-01  delta(r_12)        2.631686141801660161477e-01    8.104016281929030519641e-07    our_calc_16200
infBe_3De-01  drach_delta(r_1)   8.770793044611240318886e+00    1.688501072294460094946e-08    our_calc_16200
infBe_3De-01  drach_delta(r_12)  2.631469287036670157143e-01    1.349184430843310193828e-09    our_calc_16200
infBe_3De-01  prval(r_1)         -2.275172378763109861666e+02   1.528239415279099983058e-03    our_calc_16200
infBe_3De-01  prval(r_12)        -1.251534371216199925669e+00   7.791825859060350144107e-05    our_calc_16200
